"","Programme","Priority axes name","Registration number of the operation","Operation name","Operation summary","Beneficiary name","Identification number of the beneficiary","Legal status of the beneficiary","Postcode","...10","Operation start date","Expected end date of the operation","Operation end date","...14","Status of the operation","Country","NUTS 3 code","NUTS 3 name","Intervention field - code","Intervention field - name","Fund","Union co-financing rate","Total eligible expenditure allocated to the selected operation","Expeditures allocated to the selected operation - Union support","Expeditures allocated to the selected operation - national public funding","Expeditures allocated to the selected operation - national private funding","Total eligible expenditures charged in payment applications","Expenditures charged in payment application - Union support","...29"
"193","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_012/0004794","Územní studie veřejných prostranství pro město Domažlice","Projekt řeší pořízení územní studie města Domažlice. Pořízením územní studie veřejných prostranství bude zajištěn podklad pro vyváženou realizaci potřeb a požadavků v nejnavštěvovanějších místech jednotlivých obcí, a to zejména s ohledem na potřeby místních obyvatel a na zájmy obce. Územní studie jsou základem pro koncepční úpravy stávajících i návrh nových prostranství, slouží pro určení charakteru i náplně jednotlivých prostorů, mohou však být využity i pro řešení jejich systému v sídle.","Město Domažlice","00253316","Obec",34401,2017-10-31,"29.03.2017","31.12.2019","29.08.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ032","Plzeňský kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,2298395,1953635.75,344759.25,0,2298395,1953635.75,"Ne"
"194","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_054/0004773","Vybudování a rekonstrukce specializovaných učeben pro zájmové vzdělávání v oblasti přírodních věd, technických a řemeslných oborů a práce s digitálními technologiemi DDM Stříbro","V území ORP Stříbro dojde k rozšíření a zkvalitnění nabídky bezbariérového zájmového vzdělávání motivující žáky k dalšímu studiu v souladu se současnými trendy a požadavky trhu práce. Bude zajištěn bezbariérový vstup do budovy,  výtahová šachta s výtahem a WC pro imobilní. V půdní vestavbě vzniknou 3 moderně vybavené učebny  - přírodních věd, výpočetní techniky a dílen se zázemím pro uložení pomůcek, nářadí, materiálů a hotových výrobků. Dojde také ke spolupráci s NNO a zaměst. a úpravě zeleně.","Město Stříbro","00260177","Obec",34901,2020-10-26,NA,"29.04.2022",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ032","Plzeňský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,17476301,14854855.85,2621445.15,0,0,0,"Ne"
"195","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.11/0.0/0.0/15_018/0001201","Úspory energie v bytových domech - ul. Sadová č.p. 604, 605 a 606","Předmětem projektu je modernizace bytových domů na ul. Sadová č.p. 604, 605 a 606. Jde o soubor obytných devítipodlažních panelových domů (blok A, B) propojených jedno (blok D) a dvoupodlažními objekty (blok C). V rámci stavby dojde k zateplení obvodového a střešního pláště včetně výměny oken a dveří a k rekonstrukci balkónů včetně montáže nového zábradlí. Bude provedena oprava okapového chodníku, rekonstrukce hromosvodu a další související práce. V objektu je celkem 156 bytových jednotek.","Statutární město Frýdek-Místek","00296643","Obec",73801,2016-10-14,"12.09.2016","31.03.2018","31.03.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","II.1.014","Energeticky účinná renovace stávajícího bytového a domovního fondu, demonstrační projekty a podpůrná opatření","EFRR",0.322999999957094,23307047,7528176.18,15778870.82,0,19903790.27,6428924.25,"Ne"
"196","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.13/0.0/0.0/16_045/0013237","Autobusový terminál Kralupy nad Vltavou","Hlavním cílem projektu je zatraktivnění veřejné hromadné dopravy a  zvýšení konkurenceschopnosti, dostupnosti a bezpečnostiměsta Kralupy nad Vltavou prostřednictvím vybudování autobusového terminálu v blízkosti vlakového nádraží. Projekt má za cíl podporovat návaznost různých druhů dopravy a vymezovat plochy, které umožňují účelné propojení ploch bydlení, občanského vybavení, veřejného prostranství a dalších ploch s požadavky na ochranu životního prostředí.","Město Kralupy nad Vltavou","00236977","Obec",27801,2020-09-10,"01.04.2019","25.02.2022","25.02.2022",NA,"PP40 Projekt fyzicky ukončen","Česká republika","CZ020","Středočeský kraj","II.4.044","Inteligentní dopravní systémy (včetně zavedení správy poptávky, odbavovacích systémů, IT systémů pro sledování, kontrolu a poskytování informací)","EFRR",0.85,50879762,43247797.7,7631964.3,0,50878494,43246719.89,"Ne"
"197","OP ZP","05.5 Energetické úspory","CZ.05.5.11/0.0/0.0/17_061/0010832","61. výzva - Rožnov pod Radhoštěm - Přístavba městské knihovny v Rožnově pod Radhoštěm","Přístavba knihovny v Rožnově pod Radhoštěm na adrese č.p. 519 a parcelách st. 730, 1429/1 a 1430/3 v pasivním standardu.","Město Rožnov pod Radhoštěm","00304271","Obec",75661,2020-10-30,NA,"30.09.2022",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ072","Zlínský kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","EFRR",0.32,47112392,15075965.44,32036426.56,0,0,0,"Ne"
"198","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.05/0.0/0.0/16_034/0006158","Harmonizace prostorových (GIS) dat statutárního města České Budějovice","Projekt vychází ze Strategického rámce rozvoje veřejné správy a Informační koncepce statutárního města České Budějovice na léta 2015 - 2020  s cílem podpořit pokročilé techniky eGovernmentu pořízením informačních a komunikačních technologií. Doplňuje informační systém o nové funkcionality, především o podporu práce s prostorovými daty a na ně návaznými elektronickými službami. Připravuje informační systém magistrátu na budoucí příjem úplného elektronického podání.","Statutární město České Budějovice","00244732","Obec",37001,2017-12-11,"20.06.2017","31.12.2021","29.07.2021",NA,"PN40a Projekt nedokončen - ukončen příjemcem","Česká republika","CZ031","Jihočeský kraj","IV.3.078","Služby elektronické veřejné správy (e-government) a žádosti (včetně elektronického zadávání veřejných zakázek, IKT opatření na podporu reformy veřejné správy, počítačové bezpečnosti, opatření pro důvěru a ochranu soukromí, elektronického soudnictví (e-justice) a e-demokracie)","EFRR",0,0,0,NA,0,119669,101718.65,"Ne"
"199","OP ZP","05.4 Ochrana a péče o přírodu a krajinu","CZ.05.4.27/0.0/0.0/18_094/0008112","Sadové úpravy u Moravy","Předmětem projektu ""Sadové úpravy u Moravy"" je revitalizace zeleně na veřejném prostranství v centrální části města Orlová-Lutyně. Cílem je zlepšení stavu lokality obnovou prvků veřejné zeleně, zlepšení jejich funkčního stavu výsadbami stromů a zvýšení biodiverzity místního ekosystému. Součástí je založení doprovodného vodního prvku - mokřadu. Realizace je v souladu s územním plánem. Projekt bude realizován ve městě Orlová, které má k 20.3 2018 celkem 29 774 obyvatel.","Město Orlová","00297577","Obec",73514,2018-09-07,"13.03.2019","31.03.2023",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ080","Moravskoslezský kraj","IV.4.085","Ochrana a obnova biologické rozmanitosti, ochrana přírody a ekologická infrastruktura","EFRR",0.599999986138176,577124.63,346274.77,230849.86,0,565128.69,339077.2,"Ne"
"200","IROP","06.4 Komunitně vedený místní rozvoj","CZ.06.4.59/0.0/0.0/16_038/0015975","Jičín - ulice Konecchlumského","Projekt Jičín - ulice Konecchlumského zahrnuje opatření, která budou sloužit zejména  pro zvýšení bezpečnosti dopravy v zájmové oblasti, zejména pak pěších, pro které bude nově vytvořen chodník v celé délce řešeného úseku, stávající chodníky budou rekonstruovány a mezi komunikací budou upraveny zelené pásy.Propojením vzniknou místa k přecházení a bezbariérový přístup ve směru k zastávkám autobusů.","Město Jičín","00271632","Obec",50601,2021-07-13,NA,"30.06.2023",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ052","Královéhradecký kraj","IV.5.097","Iniciativy v oblasti místního rozvoje se zapojením místních komunit ve městech a na venkově","EFRR",0.95,2e+06,1900000,1e+05,0,0,0,"Ne"
"201","OP ZP","05.4 Ochrana a péče o přírodu a krajinu","CZ.05.4.27/0.0/0.0/20_141/0013786","Úprava veřejného prostoru náměstí Družby v Ostravě-Porubě - etapa B2","V rámci projektu dojde ke zlepšení životního prostředí silně urbanizované části MOb Poruba (v lokalitách ulic Sokolovská a Gen. Sochora) formou komplexní obnovy veřejné zeleně veřejných prostranství, rozšíření druhové skladby ve prospěch druhů blízkých přirozené skladbě vegetace (protierozní funkce, zadržení vody v krajině, zlepšení estetického vzhledu a zlepšení bezpečnosti) ve vymezeném území.","Statutární město Ostrava","00845451","Obec",70200,2021-05-21,NA,"31.12.2023",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ080","Moravskoslezský kraj","IV.4.085","Ochrana a obnova biologické rozmanitosti, ochrana přírody a ekologická infrastruktura","EFRR",0.599999996932782,1956170.36,1173702.21,782468.15,0,0,0,"Ne"
"202","OP PIK","01.1 Rozvoj výzkumu a vývoje pro inovace","CZ.01.1.02/0.0/0.0/20_365/0025667","Pořízení vybavení pro vědeckotechnický park TechTower","Předkládaný projekt řeší v rámci aktivity c) pořízení nového vybavení a zlepšení kapacit pro společné využívání technologií, pořízením nezbytného vybavení rekonstruovaných prostor VTP TechTower. Cílem je, aby areál a aktivity TechTower naplňovali funkci a služby vědeckotechnického parku.  Lokalita: 326 00 Plzeň 2 - Slovany, Katastrální území Plzeň (721981), pozemek parc. číslo 3943 - č. p. 777, pozemek parc. číslo 3949 - bez čísla popisného, vymezeno ulicemi Slovanská alej, Koterovská, Sladová.","Statutární město Plzeň","00075370","Obec",30100,2021-11-05,NA,"30.06.2023",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ032","Plzeňský kraj","IV.1.058","Výzkumné a inovační infrastruktury (veřejný sektor)","EFRR",0.5,2.8e+07,1.4e+07,1.4e+07,0,0,0,"Ne"
"203","OP ZP","05.1 Zlepšování kvality vody a snižování rizika povodní","CZ.05.1.24/0.0/0.0/20_144/0014156","Litomyšl - park Z. Kopala","Projekt řeší protipovodňovou ochranu ohrožených nemovitostí intravilánu města Litomyšl. Jedná o prvek tzv. modrozelené infrastruktury, která v sobě provazuje protipovodňovou ochranu s trvale udržitelným a ekosystémovým přístupem. Pomocí sofistikované modelace terénu s nezbytným doplněním vegetace je vytvářen soudobý netradiční a životaschopný koncept území, který na jedné straně navazuje na historickou podobu místní zemědělské krajiny, na druhé straně využívá soudobé a perspektivní prvky.","Město Litomyšl","00276944","Obec",57001,2021-09-30,NA,"30.04.2022",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ053","Pardubický kraj","IV.4.087","Opatření pro přizpůsobení se změně klimatu, předcházení rizikům a řízení rizik souvisejících s oblastí klimatu, jako jsou například eroze, požáry, záplavy, bouře a sucha, včetně zvyšování povědomí, civilní ochrany a systémů a infrastruktur řízení katastrof","FS",0.849999999849935,9995689.79,8496336.32,1499353.47,0,0,0,"Ne"
"204","IROP","06.4 Komunitně vedený místní rozvoj","CZ.06.4.59/0.0/0.0/16_038/0014918","Rekonstrukce chodníků na ul. Školní - II. etapa, Bystřice pod Hostýnem","Předmětem projektu je rekonstrukce komunikace pro pěší v ulici Školní v Bystřici pod Hostýnem, včetně souvisejících prvků zvyšující bezpečnost chodců a komfort osobám s omezenou schopností pohybu a orientace. Cílem projektu je zajištění bezpečného propojení důležitých cílů cest, především z bydliště na pracoviště, do zdravotního zařízení či vedení dětí do mateřských a základních škol.","Město Bystřice pod Hostýnem","00287113","Obec",76861,2021-02-20,"24.01.2020","30.11.2020","30.11.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ072","Zlínský kraj","IV.5.097","Iniciativy v oblasti místního rozvoje se zapojením místních komunit ve městech a na venkově","EFRR",0.95,1954747.4,1857010.03,97737.37,0,1511986.11,1436386.8,"Ne"
"205","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_062/0004284","CENTRUM POLYTECHNICKÉ VÝCHOVY A VZDĚLÁVÁNÍ","Vybudováním centra polytechnické výchovy a vzdělávání budou zajištěny prostory pro výuku technických a přírodovědných předmětů s moderním vybavením na jednom místě. Toto podpoří přípravu žáků na některá povolání, pomůže při rozhodování o volbě budoucího povolání, umožní zkvalitnění výuky tím, že nové a moderně vybavené učebny děti více zaujmou.","Město Boskovice","00279978","Obec",68001,2017-12-22,"01.04.2018","27.09.2019","27.09.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ064","Jihomoravský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999935146,69386722.17,58978713.84,10408008.33,0,63579143.12,54042271.64,"Ne"
"206","OP VVV","02.3 Rovný přístup ke kvalitnímu předškolnímu, primárnímu a sekundárnímu vzdělávání","CZ.02.3.68/0.0/0.0/15_005/0000038","Místní akční plán rozvoje vzdělávání ORP Bystřice nad Pernštejnem","MAP je Místní akční plán vzdělávání, který bude prioritně zaměřen na rozvoj kvalitního a inkluzivního vzdělávání dětí a žáků do 15 let. Zahrnuje oblasti včasné péče, předškolního a základního vzdělávání, zájmového a neformálního vzdělávání v rámci správního obvodu obce s rozšířenou působností Bystřice nad Pernštejnem.","Město Bystřice nad Pernštejnem","00294136","Obec",59301,2016-07-20,"01.01.2016","31.12.2017","31.12.2017",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ063","Kraj Vysočina","VII.0.115","Omezování a prevence předčasného ukončování školní docházky a podpora rovného přístupu ke kvalitním programům předškolního, základního a středoškolského vzdělávání, včetně možností formálního, neformálního a informálního učení, které umožňuje zpětné začlenění do procesu vzdělávání a odborné přípravy","ESF",0.849999999384294,3248303.52,2761057.99,324830.35,162415.18,3190038.6,2711532.81,"Ne"
"207","OP ZP","05.3 Odpady a materiálové toky, ekologické zátěže a rizika","CZ.05.3.29/0.0/0.0/16_040/0003736","Předcházení vzniku bioodpadu v Tišnově","Cílem projektu je rozvíjet ve městě Tišnově systém nakládání s bioodpady, nabídnout obyvatelům možnost domácího kompostování a zapojit je tak do městského systému nakládání s bioodpady. Projekt zahrnuje nákup 50 ks kompostérů o objemu 390 litrů/ks, 100 ks kompostérů o objemu 700 litrů/ks a 200 ks kompostérů o objemu 950 litrů/ks. Kompostéry budou bezplatně zapůjčeny zájemcům, kteří se přihlásí osobně nebo prostřednictvím webového formuláře.","Město Tišnov","00282707","Obec",66601,2017-08-10,"05.09.2017","31.05.2018","31.05.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ064","Jihomoravský kraj","II.2.017","Nakládání s odpady v domácnostech (včetně opatření týkajících se minimalizace, třídění a recyklace)","FS",0.85,712690,605786.5,106903.5,0,712690,605786.5,"Ne"
"208","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.05/0.0/0.0/16_044/0002587","Moderní a efektivně řízený úřad","Projekt vychází ze Strategického rámce rozvoje eGovernmentu 2014+ a Smart Administration. Navazuje na realizované projekty podpořené z 06 a 22 IOP a rozvíjí služby Governmentu ORP Hustopeče - elektronické zpracování dokumentů, sdílení dat napříč organizacemi města, možnost základní manažerské kontroly pomocí dat pro procesní řízení a doplní infrastrukturu pro uskutečnění záměrů. Přispívá ke snížení administrativní zátěže občanů a zefektivnění veřejné správy a služeb.","Město Hustopeče","00283193","Obec",69301,2017-03-29,"01.08.2016","31.12.2018","31.12.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ064","Jihomoravský kraj","IV.3.078","Služby elektronické veřejné správy (e-government) a žádosti (včetně elektronického zadávání veřejných zakázek, IKT opatření na podporu reformy veřejné správy, počítačové bezpečnosti, opatření pro důvěru a ochranu soukromí, elektronického soudnictví (e-justice) a e-demokracie)","EFRR",0.849999999815144,5409600.46,4598160.39,811440.07,0,5409600.46,4598160.39,"Ne"
"209","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.11/0.0/0.0/16_098/0002489","Energeticky úsporná opatření - bytový dům č. p. 684, Uničov","Projekt řeší stavební úpravy (rekonstrukci) stávajícího bytového domu na ulici Balcárkova č.p. 684 v Uničove. Budova stojí na parcele č. st.1096 v katastrálním území Uničov. Na stavbě bude provedeno zateplení obvodového zdiva, zateplení stropu ze strany půdy a výměna otvorových výplní lodžií, oken v půdním prostoru a vstupních dveří. Hlavním cílem projektu je zlepšit současný tepelně-technický stav objektu a dosáhnout energetický úspor.","Město Uničov","00299634","Obec",78391,2017-03-13,"08.03.2017","31.08.2019","31.08.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ071","Olomoucký kraj","II.1.014","Energeticky účinná renovace stávajícího bytového a domovního fondu, demonstrační projekty a podpůrná opatření","EFRR",0.3,3399495,1019848.5,2379646.5,0,3399495,1019848.5,"Ne"
"210","OP Z","03.2 Sociální začleňování a boj s chudobou","CZ.03.2.60/0.0/0.0/16_064/0006228","Asistenti prevence kriminality ve Vysokém Mýtě","Hlavním cílem projektu Asistenti prevence kriminality ve Vysokém Mýtě je snížení počtu spáchaných trestných činů a přestupků v sociálně vyloučených lokalitách, vyhledávání osob v sociálně vyloučených lokalitách ohrožených kriminalitou nebo sociálně patologickými jevy a spolupracovat s nimi na snižování rizik spojených se současným způsobem jejich života. Cílem je zvýšit pocit bezpečí obyvatel Vysokého Mýta.","Město Vysoké Mýto","00279773","Obec",56601,2018-06-26,"01.09.2018","31.10.2021","31.10.2021",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ053","Pardubický kraj","VI.0.109","Aktivní začleňování, včetně začleňování s ohledem na podporu rovných příležitostí a aktivní účast a zlepšení zaměstnatelnosti","ESF",0.849999997432921,3116382.68,2648925.27,467457.41,0,3110770,2644154.48,"Ano"
"211","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.11/0.0/0.0/16_098/0002825","Regenerace bytového domu Nádražní 1, Rýmařov","Projektový záměr řeší regeneraci bytového domu v ul. Nádražní, č.p. 473/1, Rýmařov. Cílem předkládaného projektu je snížení energetické náročnosti bytového domu a snížení konečné spotřeby energie domácností prostřednictvím energeticky vědomé úpravy objektu. Stavební úpravy spočívají v zateplení obvodových konstrukcí, výměně vstupních dveří a oken za plastová. Tato opatření povedou k ochraně životního prostředí a podpoře sociálně slabých obyvatel domu, prostřednictvím snížení výdajů na bydlení.","Město Rýmařov","00296317","Obec",79501,2017-05-12,"25.04.2016","31.08.2018","31.08.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","II.1.014","Energeticky účinná renovace stávajícího bytového a domovního fondu, demonstrační projekty a podpůrná opatření","EFRR",0.3,3579720,1073916,2505804,0,3342516.69,1002755,"Ne"
"212","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/16_039/0004219","Energetické úspory Suvorovova 152 v Novém Jičíně","Tento projekt se zabývá snížením energetické náročnosti budovy na ulici Suvorovova č. p. 1854 v Novém Jičíně. Stěžejní aktivitou je zlepšení tepelně-technických vlastností budovy a zamezit tak ztrátám tepelné energie. V souvislosti se zateplením je očekávána finanční úspora za odběr tepelné energie, navýšení komfortu užívání, zlepšení akumulačních vlastností budovy a v neposlední řadě vylepšení architektonického vzhledu budovy.","Město Nový Jičín","00298212","Obec",74101,2017-06-29,NA,"01.03.2018","19.09.2018",NA,"PN40b Projekt nedokončen - ukončen ŘO","Česká republika","CZ080","Moravskoslezský kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0,0,0,NA,0,0,0,"Ne"
"213","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_012/0002550","Územní studie veřejných prostranství v ORP Nová Paka","Projekt se zabývá zhotovením třech územních studií veřejných prostranství ve správním obvodu obce s rozšířenou působností Nová Paka. Jedna územní studie bude zpracována v obci a k.ú. Pecka a dvě v obci Úbislavice (v k.ú. Úbislavice a k.ú. Stav). Záměry územních studií veřejných prostranství jsou v souladu s platnou územně plánovací dokumentací.","Město Nová Paka","00271888","Obec",50901,2017-03-21,"27.07.2016","31.12.2017","24.10.2017",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ052","Královéhradecký kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,367555,312421.75,55133.25,0,367555,312421.75,"Ne"
"214","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.23/0.0/0.0/16_055/0003135","Rekonstrukce a přístavba hasičské zbrojnice, Ostrava - Hošťálkovice","Předmětem projektu je komplexní rekonstrukce hasičské zbrojnice, Ostrava - Hošťálkovice. Cílem projektu je zkvalitnění podmínek pro výkon služby jednotky požární ochrany Sbor dobrovolných hasičů Hošťálkovice. Výsledkem projektu bude zvýšení odolnosti stanice vůči účinkům mimořádné události tak, aby mohla plnit své úkoly v podmínkách mimořádné události a byly zajištěny podmínky pro rychlý výjezd složek IZS k mimořádným událostem.","Statutární město Ostrava","00845451","Obec",70200,2017-08-04,"01.12.2015","31.05.2019","31.05.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","IV.4.087; IV.4.088","Opatření pro přizpůsobení se změně klimatu, předcházení rizikům a řízení rizik souvisejících s oblastí klimatu, jako jsou například eroze, požáry, záplavy, bouře a sucha, včetně zvyšování povědomí, civilní ochrany a systémů a infrastruktur řízení katastrof; Předcházení rizikům a řízení přírodních rizik nesouvisejících se změnou klimatu (zemětřesení) a rizik souvisejících s lidskou činností (například technologických nehod), včetně zvyšování povědomí, civilní ochrany a systémů a infrastruktur řízení katastrof","EFRR",0.849999999429859,12277671.62,10436020.87,1841650.75,0,12246840.14,10409814.11,"Ne"
"215","OP VVV","02.3 Rovný přístup ke kvalitnímu předškolnímu, primárnímu a sekundárnímu vzdělávání","CZ.02.3.61/0.0/0.0/16_021/0004508","Podpora inkluzivního vzdělávání v Chomutově","Obec bude v rámci projektu podpořena v roli koordinátora řešení problematiky inkluzivního vzdělávání. Pro zajištění kvalitního vzdělávání pro všechny děti a žáky je nezbytné postupovat koordinovaně. Zapojení zřizovatele škol je podmínkou pro úspěšný průběh a podporu inkluzivního vzdělávání. V rámci projektu vzniknou na Odboru školství v Chomutově pozice koordinátor inkluze pro obec a metodik asistentů pedagoga a školních asistentů. Součástí projektu budou rovněž osvětové aktivity.","Statutární město Chomutov","00261891","Obec",43001,2017-06-22,"01.09.2017","31.08.2020","31.08.2020",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ042","Ústecký kraj","VI.0.110","Socioekonomická integrace marginalizovaných komunit, jako jsou Romové","ESF",0.85,4461377,3792170.45,446137.7,223068.85,4247094.17,3610030.01,"Ne"
"216","OP Z","03.4 Efektivní veřejná správa","CZ.03.4.74/0.0/0.0/16_033/0003005","Rozvoj MA21v Jilemnici","Projekt se zaměřuje na naplnění Aalborgského závazku č. 7 Místní akce pro zdraví. Téma zdraví je zvoleno jako postupové kritérium z kat. ""C"" do ""C*"". V oblasti zdraví budeme uplatňovat správu věcí veřejných (závazek č. 1). Naplnění postupových kritérii bude zajištěno prostřednictvím 4 klíčových aktivit: 1. Zdravotní plán města Jilemnice 2. Komunitní plánování sociálních služeb na Jilemnicku 3. Zdravý životní styl 4. Aktivní stárnutí. Audit udržitelného rozvoje bude nutným podkladem pro postup.","Město Jilemnice","00275808","Obec",51401,2017-02-23,"01.01.2017","31.12.2018","31.12.2018",NA,"PP43 Projekt finálně uzavřen","Česká republika","CZ051","Liberecký kraj","VIII.0.119; VIII.0.119","Investice do institucionální kapacity a účinnosti veřejné správy a veřejných služeb na celostátní, regionální a místní úrovni za účelem reforem, zlepšování právní úpravy a řádné správy; Investice do institucionální kapacity a účinnosti veřejné správy a veřejných služeb na celostátní, regionální a místní úrovni za účelem reforem, zlepšování právní úpravy a řádné správy","ESF; ESF",0.85,2414020,2051917,362103,0,2123888.33,1805305.05,"Ano"
"217","OP ZP","05.1 Zlepšování kvality vody a snižování rizika povodní","CZ.05.1.24/0.0/0.0/19_119/0011477","Dešťový biotop","Dešťový biotop vybudovaný při Základní škole u Říčanského lesa v Říčanech bude u nás zatím relativně unikátním stanovištěm, které má žákům školy ukázat prospěšnost šetrného nakládání s dešťovou vodou. Dešťový biotop  je budován jako 2. etapa projektu s názvem Botanické centrum při Základní škole u Říčanského lesa.","Město Říčany","00240702","Obec",25101,2020-08-21,"18.10.2021","30.11.2022",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ020","Středočeský kraj","IV.4.087","Opatření pro přizpůsobení se změně klimatu, předcházení rizikům a řízení rizik souvisejících s oblastí klimatu, jako jsou například eroze, požáry, záplavy, bouře a sucha, včetně zvyšování povědomí, civilní ochrany a systémů a infrastruktur řízení katastrof","FS",0.849999996297371,2160627.08,1836533.01,324094.07,0,0,0,"Ne"
"218","OP ZP","05.4 Ochrana a péče o přírodu a krajinu","CZ.05.4.27/0.0/0.0/15_015/0000036","Zelené okolí autobusového nádraží","Součástí projektu není jen revitalizace zeleně na autobusovém nádraží, ale také v nejbližším okolí tak, aby se zeleň v místě sjednotila a propojila. Záměr tedy řeší odborné ošetření dřevin v lokalitě, návrh kácení a také návrh nových vhodných výsadeb. Velká část této lokality je registrovaný významný krajinný prvek, proto je vhodné tuto lokalitu chránit a postupně obměňovat a doplňovat zeleň.","Město Odry","00298221","Obec",74235,2017-08-14,"24.10.2016","28.02.2021","25.02.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ080","Moravskoslezský kraj","IV.4.085","Ochrana a obnova biologické rozmanitosti, ochrana přírody a ekologická infrastruktura","EFRR",0.599999988684932,707021.83,424213.09,282808.74,0,702063.43,421238.04,"Ne"
"219","OP ZP","05.3 Odpady a materiálové toky, ekologické zátěže a rizika","CZ.05.3.29/0.0/0.0/16_040/0003817","Předcházení vzniku bioodpadu v Bystřici nad Pernštejnem - kompostéry","Předmětem projektu je pořízení 200 ks kompostérů o objemu 400 litrů a 500 ks kompostérů o objemu 800 litrů určených pro kompostování biologicky rozložitelné složky vznikající v domácnostech ve městě Bystřice nad Pernštejnem. Kompostéry, které budou pořízené v rámci tohoto projektu budou rozdány do domácností pro účely kompostování biologicky rozložitelné složky.","Město Bystřice nad Pernštejnem","00294136","Obec",59301,2017-08-23,"07.09.2017","31.08.2018","07.06.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ063","Kraj Vysočina","II.2.017","Nakládání s odpady v domácnostech (včetně opatření týkajících se minimalizace, třídění a recyklace)","FS",0.85,1169586,994148.1,175437.9,0,1169586,994148.1,"Ne"
