municipality_id,municipality,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3209,Plzeň,179950,179585,179330,177897,178064,178812,180799,185125,185855,184885,184871,185275,186077,187245,188190,189131,189747,191599,194280,194840,188407
4210,Podbořany,15689,15688,15835,15788,15837,15883,16043,16189,16157,16086,15843,15737,15679,15662,15701,15717,15662,15668,15678,15649,15472
2119,Poděbrady,28692,28552,28609,28724,28799,28928,29429,29798,29921,30270,30402,30531,30638,30723,30812,30780,30869,31095,31382,31575,31362
6213,Pohořelice,12417,12414,12524,12565,12588,12523,12626,12757,12914,13049,13295,13439,13589,13722,13849,14050,14211,14358,14599,14895,14982
5310,Polička,19577,19569,19434,19423,19369,19419,19445,19407,19528,19536,19689,19671,19641,19594,19587,19550,19577,19574,19611,19615,19435
3109,Prachatice,33660,33715,33800,33825,33786,33771,33812,33795,33830,33771,33485,33449,33426,33334,33292,33287,33332,33457,33458,33307,33078
5311,Přelouč,24050,23749,23519,23605,23660,23766,23868,24286,24376,24471,24648,24707,24704,24740,24873,25105,25253,25527,25840,25990,25396
7109,Přerov,85079,84691,84452,84074,84188,84486,84906,84442,84186,83820,83004,82661,82255,81933,81500,81282,81069,80617,80236,79747,78086
3210,Přeštice,19963,20041,20032,20235,20416,20609,21027,21453,21859,21938,22147,22203,22185,22200,22206,22323,22486,22586,22885,22905,22476
2120,Příbram,69509,69227,68955,68998,68961,68959,69281,69555,69545,69706,70166,70150,70089,70023,69996,69851,69864,69944,69951,69995,69222
7108,Prostějov,97821,97643,97624,97585,97684,97986,97097,97309,97433,97395,96759,98297,98239,98128,97969,98003,97925,97920,98012,97858,97027
2121,Rakovník,52482,52505,52612,52656,52703,52882,53635,54693,54959,55641,55498,55411,55329,55389,55258,55309,55407,55565,55562,55737,54898
2122,Říčany,40655,41472,42412,43506,45174,46666,48859,52098,54210,56296,58177,60009,61774,63568,65136,66616,68288,70046,71896,73485,73831
3211,Rokycany,45758,45574,45576,45707,45823,46117,46762,47341,47358,47207,47613,47770,47799,47887,47967,48184,48602,48966,49349,49489,48770
6214,Rosice,22799,22836,22968,23089,23220,23381,23954,24163,24208,24395,24671,24904,25092,25313,25507,25721,25887,26090,26284,26440,26446
4211,Roudnice nad Labem,30076,30182,30478,30583,30644,30631,31554,32109,32172,32245,32245,32275,32300,32275,32529,32607,32811,32877,32808,32806,32559
