"","ico","year","class_of_revenue","Revenue_CZK"
"392",282481,2007,"Daňové příjmy",53664370
"393",282481,2007,"Kapitálové příjmy",11773190
"394",282481,2007,"Nedaňové příjmy",12432650
"395",282651,2007,"Daňové příjmy",73915710
"396",282651,2007,"Kapitálové příjmy",6798920
"397",282651,2007,"Nedaňové příjmy",13755090
"398",282707,2007,"Daňové příjmy",77385340
"399",282707,2007,"Kapitálové příjmy",2603710
"400",282707,2007,"Nedaňové příjmy",22893540
"401",282979,2007,"Daňové příjmy",37993640
"402",282979,2007,"Kapitálové příjmy",20101600
"403",282979,2007,"Nedaňové příjmy",13571620
"404",283061,2007,"Daňové příjmy",274850060
"405",283061,2007,"Kapitálové příjmy",4316150
"406",283061,2007,"Nedaňové příjmy",60495100
"407",283193,2007,"Daňové příjmy",64065260
"408",283193,2007,"Kapitálové příjmy",6659630
"409",283193,2007,"Nedaňové příjmy",23128100
"410",283347,2007,"Daňové příjmy",94152320
"411",283347,2007,"Kapitálové příjmy",20410050
"412",283347,2007,"Nedaňové příjmy",33905670
"413",283509,2007,"Daňové příjmy",46396290
"414",283509,2007,"Kapitálové příjmy",26226460
"415",283509,2007,"Nedaňové příjmy",20382700
"416",283924,2007,"Daňové příjmy",955711170
"417",283924,2007,"Kapitálové příjmy",157810950
"418",283924,2007,"Nedaňové příjmy",235751660
"419",284165,2007,"Daňové příjmy",61659470
"420",284165,2007,"Kapitálové příjmy",11500860
"421",284165,2007,"Nedaňové příjmy",23690620
"422",284301,2007,"Daňové příjmy",208319210
"423",284301,2007,"Kapitálové příjmy",41238960
"424",284301,2007,"Nedaňové příjmy",36034650
"425",284611,2007,"Daňové příjmy",47610440
"426",284611,2007,"Kapitálové příjmy",332860
"427",284611,2007,"Nedaňové příjmy",24462830
"428",284653,2007,"Daňové příjmy",42977630
"429",284653,2007,"Kapitálové příjmy",6714740
"430",284653,2007,"Nedaňové příjmy",11304640
"431",284891,2007,"Daňové příjmy",282612580
"432",284891,2007,"Kapitálové příjmy",23305490
"433",284891,2007,"Nedaňové příjmy",95144590
"434",285030,2007,"Daňové příjmy",132558440
"435",285030,2007,"Kapitálové příjmy",13322340
"436",285030,2007,"Nedaňové příjmy",24175930
"437",285455,2007,"Daňové příjmy",116799120
"438",285455,2007,"Kapitálové příjmy",18315790
"439",285455,2007,"Nedaňové příjmy",18903900
"440",286010,2007,"Daňové příjmy",658260980
"441",286010,2007,"Kapitálové příjmy",111992890
"442",286010,2007,"Nedaňové příjmy",161475170
"443",286745,2007,"Daňové příjmy",54246280
"444",286745,2007,"Kapitálové příjmy",6827240
"445",286745,2007,"Nedaňové příjmy",12132340
"446",287113,2007,"Daňové příjmy",87312860
"447",287113,2007,"Kapitálové příjmy",2412670
"448",287113,2007,"Nedaňové příjmy",28771070
"449",287172,2007,"Daňové příjmy",120888820
"450",287172,2007,"Kapitálové příjmy",27390080
"451",287172,2007,"Nedaňové příjmy",31084390
"452",287351,2007,"Daňové příjmy",355948160
"453",287351,2007,"Kapitálové příjmy",5539920
"454",287351,2007,"Nedaňové příjmy",66934640
"455",288365,2007,"Daňové příjmy",26669610
"456",288365,2007,"Kapitálové příjmy",677730
"457",288365,2007,"Nedaňové příjmy",5462040
"458",288659,2007,"Daňové příjmy",524654110
"459",288659,2007,"Kapitálové příjmy",84278720
"460",288659,2007,"Nedaňové příjmy",114948430
"461",289931,2007,"Daňové příjmy",77959420
"462",289931,2007,"Kapitálové příjmy",6954440
"463",289931,2007,"Nedaňové příjmy",11098470
"464",289965,2007,"Daňové příjmy",44860550
"465",289965,2007,"Kapitálové příjmy",4080910
"466",289965,2007,"Nedaňové příjmy",13030430
"467",290629,2007,"Daňové příjmy",401970500
"468",290629,2007,"Kapitálové příjmy",97150390
"469",290629,2007,"Nedaňové příjmy",58339650
"470",291463,2007,"Daňové příjmy",192582660
"471",291463,2007,"Kapitálové příjmy",10396730
"472",291463,2007,"Nedaňové příjmy",34378140
"473",291471,2007,"Daňové příjmy",304709730
"474",291471,2007,"Kapitálové příjmy",56139810
"475",291471,2007,"Nedaňové příjmy",98995850
"476",291676,2007,"Daňové příjmy",62127740
"477",291676,2007,"Nedaňové příjmy",14779640
"478",292311,2007,"Daňové příjmy",54913140
"479",292311,2007,"Kapitálové příjmy",343130
"480",292311,2007,"Nedaňové příjmy",4352300
"481",292427,2007,"Daňové příjmy",245619020
"482",292427,2007,"Kapitálové příjmy",193643310
"483",292427,2007,"Nedaňové příjmy",18205800
"484",293199,2007,"Daňové příjmy",54555690
"485",293199,2007,"Kapitálové příjmy",2733440
"486",293199,2007,"Nedaňové příjmy",10948560
"487",293881,2007,"Daňové příjmy",399792990
"488",293881,2007,"Kapitálové příjmy",19529700
"489",293881,2007,"Nedaňové příjmy",137859240
"490",294136,2007,"Daňové příjmy",100195390
"491",294136,2007,"Nedaňové příjmy",13766690
"492",294900,2007,"Daňové příjmy",113208610
"493",294900,2007,"Kapitálové příjmy",3207550
"494",294900,2007,"Nedaňové příjmy",13186080
"495",295671,2007,"Daňové příjmy",128894010
"496",295671,2007,"Kapitálové příjmy",22784310
"497",295671,2007,"Nedaňové příjmy",15779970
"498",295841,2007,"Daňové příjmy",255050870
"499",295841,2007,"Kapitálové příjmy",35003900
"500",295841,2007,"Nedaňové příjmy",102608640
"501",295892,2007,"Daňové příjmy",185418310
"502",295892,2007,"Kapitálové příjmy",14575460
"503",295892,2007,"Nedaňové příjmy",51541800
"504",296139,2007,"Daňové příjmy",247382340
"505",296139,2007,"Kapitálové příjmy",29284970
"506",296139,2007,"Nedaňové příjmy",85595650
"507",296317,2007,"Daňové příjmy",78383060
"508",296317,2007,"Kapitálové příjmy",11537830
"509",296317,2007,"Nedaňové příjmy",31353130
"510",296643,2007,"Daňové příjmy",687783880
"511",296643,2007,"Kapitálové příjmy",30040730
"512",296643,2007,"Nedaňové příjmy",150213200
"513",296651,2007,"Daňové příjmy",82997460
"514",296651,2007,"Kapitálové příjmy",5633830
"515",296651,2007,"Nedaňové příjmy",17358640
"516",296759,2007,"Daňové příjmy",48937610
"517",296759,2007,"Kapitálové příjmy",6324270
"518",296759,2007,"Nedaňové příjmy",11678430
"519",297313,2007,"Daňové příjmy",389304940
"520",297313,2007,"Kapitálové příjmy",26178090
"521",297313,2007,"Nedaňové příjmy",62161020
"522",297437,2007,"Daňové příjmy",254882350
"523",297437,2007,"Kapitálové příjmy",23093550
"524",297437,2007,"Nedaňové příjmy",42943970
"525",297488,2007,"Daňové příjmy",901652500
"526",297488,2007,"Kapitálové příjmy",7513070
"527",297488,2007,"Nedaňové příjmy",42225050
"528",297534,2007,"Daňové příjmy",713919750
"529",297534,2007,"Kapitálové příjmy",16462310
"530",297534,2007,"Nedaňové příjmy",211218890
"531",297569,2007,"Daňové příjmy",216270530
"532",297569,2007,"Kapitálové příjmy",15875980
"533",297569,2007,"Nedaňové příjmy",226473550
"534",297577,2007,"Daňové příjmy",324875110
"535",297577,2007,"Kapitálové příjmy",26441600
"536",297577,2007,"Nedaňové příjmy",73007510
"537",297755,2007,"Daňové příjmy",66261180
"538",297755,2007,"Kapitálové příjmy",6897810
"539",297755,2007,"Nedaňové příjmy",30654530
"540",297852,2007,"Daňové příjmy",109451510
"541",297852,2007,"Kapitálové příjmy",9573530
"542",297852,2007,"Nedaňové příjmy",30040130
"543",298077,2007,"Daňové příjmy",230990970
"544",298077,2007,"Kapitálové příjmy",11607660
"545",298077,2007,"Nedaňové příjmy",16488380
"546",298212,2007,"Daňové příjmy",257106200
"547",298212,2007,"Kapitálové příjmy",84069980
"548",298212,2007,"Nedaňové příjmy",73741390
"549",298221,2007,"Daňové příjmy",65541590
"550",298221,2007,"Kapitálové příjmy",6928170
"551",298221,2007,"Nedaňové příjmy",16989330
"552",299138,2007,"Daňové příjmy",115434700
"553",299138,2007,"Kapitálové příjmy",12690740
"554",299138,2007,"Nedaňové příjmy",29073210
"555",299308,2007,"Daňové příjmy",1484406450
"556",299308,2007,"Kapitálové příjmy",1911930
"557",299308,2007,"Nedaňové příjmy",77267570
"558",299529,2007,"Daňové příjmy",150669530
"559",299529,2007,"Nedaňové příjmy",28520550
"560",299634,2007,"Daňové příjmy",129877920
"561",299634,2007,"Kapitálové příjmy",22888280
"562",299634,2007,"Nedaňové příjmy",18255280
"563",300063,2007,"Daňové příjmy",141337430
"564",300063,2007,"Kapitálové příjmy",705500
"565",300063,2007,"Nedaňové příjmy",24230680
"566",300292,2007,"Daňové příjmy",59288840
"567",300292,2007,"Kapitálové příjmy",4242970
"568",300292,2007,"Nedaňové příjmy",9560100
"569",300535,2007,"Daňové příjmy",679893790
"570",300535,2007,"Kapitálové příjmy",68980660
"571",300535,2007,"Nedaňové příjmy",230481490
"572",300870,2007,"Daňové příjmy",55508190
