"","year","ico","lt_tangible_assets_CZK"
"916",2011,274879,668925886.67
"917",2011,274968,569640816.12
"918",2011,278475,2100009711.72
"919",2011,277819,2253653065.74
"920",2011,272728,1761403944.91
"921",2011,278360,2245921548.45
"922",2011,268810,7997443052.4
"923",2011,272523,499583110.59
"924",2011,272868,1530120625.24
"925",2011,272876,690597931.68
"926",2011,269247,1055436639.23
"927",2011,273571,418731337.27
"928",2011,274101,632999458.61
"929",2011,270059,1012556253.35
"930",2011,270211,2230890970.3
"931",2011,274046,8442314816.27
"932",2011,277037,1225263652.85
"933",2011,277177,1484554706.57
"934",2011,277444,1319779208.87
"935",2011,267538,656460584.51
"936",2011,267449,2030557706.66
"937",2011,268321,628801899.23
"938",2011,248789,816228635.72
"939",2011,276944,1733448779.64
"940",2011,248266,814482513.65
"941",2011,279676,1088900051.69
"942",2011,248801,1955194999.74
"943",2011,279846,603516772.72
"944",2011,279072,648607353
"945",2011,278653,1308626848.33
"946",2011,279773,1247801101.33
"947",2011,286745,853402573.29
"948",2011,286010,4806358990.91
"949",2011,295841,1883544437.58
"950",2011,295671,1020480056.72
"951",2011,279978,1117524034.59
"952",2011,279943,1548179392.77
"953",2011,294136,1376426965.22
"954",2011,279102,1018992879.56
"955",2011,302724,729678572.25
"956",2011,294900,537745471.53
"957",2011,44992785,45100304060.47
"958",2011,283061,1743280364.97
"959",2011,289931,561849604.86
"960",2011,289965,366858965.81
"961",2011,290629,2868499665.39
"962",2011,283347,735267704.49
"963",2011,283193,415171221.85
"964",2011,287113,643466649.9
"965",2011,299138,1034665903.43
"966",2011,299634,1454328523.63
"967",2011,303461,2038063168.92
"968",2011,287351,1792358005.19
"969",2011,303038,866126869.49
"970",2011,303640,683962252.42
"971",2011,299308,12830009766.29
"972",2011,299529,1027071215.45
"973",2011,292311,636643880.5
"974",2011,291676,487789118.78
"975",2011,292427,1285990708.18
"976",2011,285030,899782870.93
"977",2011,284891,1905443358.6
"978",2011,285455,1054190003.01
"979",2011,282707,565547321.48
"980",2011,281859,726857135.31
"981",2011,282979,255207418.94
"982",2011,281964,751760167.37
"983",2011,282651,605443133.66
"984",2011,283509,503795726.59
"985",2011,293199,217666643.66
"986",2011,293881,2485971933.77
"987",2011,287172,842514966.76
"988",2011,304450,1763929837.36
"989",2011,288659,3651819988.58
"990",2011,288365,382869731.1
"991",2011,282481,319207876.47
"992",2011,301825,2232592013.42
"993",2011,301311,973516257.61
"994",2011,301493,457647162.84
"995",2011,304387,2286045940.29
"996",2011,304271,758081994.71
"997",2011,291463,1979030200.12
"998",2011,291471,2820798474.79
"999",2011,296317,966236965.12
"1000",2011,283924,7928332490.71
"1001",2011,295892,1085283763.01
"1002",2011,284653,84870929
"1003",2011,284165,1304080492.4
"1004",2011,284301,1326924003.49
"1005",2011,284611,561078118.53
"1006",2011,297437,1177100193.83
"1007",2011,297577,1161746901.4
"1008",2011,296139,2041222116.88
"1009",2011,297569,1511135583.65
"1010",2011,845451,36400139457.41
"1011",2011,298077,1595923330.97
"1012",2011,297534,3675543100.13
"1013",2011,298212,1554273761.93
"1014",2011,297488,3705910406.45
"1015",2011,298221,761523257.95
"1016",2011,297313,2539570486.29
"1017",2011,297852,870081409.56
"1018",2011,296651,442382060.96
"1019",2011,297755,469878582.71
"1020",2011,296759,493667555.37
"1021",2011,296643,2759504347.33
"1022",2011,300292,722649284.57
"1023",2011,300535,5895462051.91
"1024",2011,300063,551818990.04
"1025",2011,300870,480554576.74
"1026",2012,236021,2126560541.47
"1027",2012,236195,1849012467.49
"1028",2012,235334,418676447.58
"1029",2012,233242,342608469.74
"1030",2012,233129,1573729221.14
"1031",2012,235440,5490638486.64
"1032",2012,232947,1129829175.03
"1033",2012,232963,426480241.68
"1034",2012,231401,3195625100.93
"1035",2012,234877,1965691728.33
"1036",2012,234516,5571449212.24
"1037",2012,236977,1240346615.62
"1038",2012,237051,2529354101.75
