ico,municipality_id,municipality,date,year,EU_fund_total_CZK,Tax_revenue_CZK,Capital_revenue_CZK,Non_tax_revenue_CZK,lt_tangible_assets_CZK,Saldo_CZK,population_total,unemployment
250627,3109,Prachatice,2016-12-31,2016,0,4852.075612100821,26.53191936792141,1140.7453627542284,53505.26319494097,935.7213578874636,33287,3.87
250627,3109,Prachatice,2017-12-31,2017,624.9721138845554,5231.3606972278885,66.10174906996279,1230.1573523940956,54085.03987159486,590.0752310092404,33332,3.02
250627,3109,Prachatice,2018-12-31,2018,211.93008936844308,5682.137042173536,40.454264279522974,1411.892989807813,54944.097632184596,153.6932612009463,33457,2.29
250627,3109,Prachatice,2019-12-31,2019,108.9842787972981,6159.456732620001,15.26690178731544,1557.2114427042861,54096.6275461773,-2401.061708111662,33458,2.46
250627,3109,Prachatice,2020-12-31,2020,11.607199687753326,5801.183075629747,36.73753265079413,2194.577572282103,54514.009175848914,1467.9773311916413,33307,2.7
250805,3116,Vimperk,2007-12-31,2007,0,4466.964548646506,1049.391777098199,1041.2770415675614,66989.99320421339,346.5743572318496,17658,2.75
250805,3116,Vimperk,2008-12-31,2008,274.42157494507967,5260.812820368388,2023.0355432884583,1356.2811919112262,67964.41897144145,1409.059877203853,17753,3
250805,3116,Vimperk,2009-12-31,2009,1577.2679256249648,4687.522713165171,799.3267874273461,1809.937362451329,72733.00208791828,-166.43135263246995,17721,5.02
250805,3116,Vimperk,2010-12-31,2010,74.70711415473428,4783.981549606656,762.1076461599412,1693.1795800554644,75283.07487690305,1122.841134189824,17669,5.28
250805,3116,Vimperk,2011-12-31,2011,1783.7053989543078,4626.910927483519,449.12832461923165,1704.0049874971585,59218.748576381,-575.9696891338941,17596,5
250805,3116,Vimperk,2012-12-31,2012,0,4841.830167794779,257.5570217848814,1498.9649792389512,57089.59669927763,50.44574142540145,17581,4.98
250805,3116,Vimperk,2013-12-31,2013,1981.8708765417998,5586.30387391503,340.28077889447235,1455.5570820009136,59812.141140360894,1708.0411586340795,17512,4.96
250805,3116,Vimperk,2014-12-31,2014,612.7713008130081,5773.232038818276,370.31995992213444,1853.9348253750143,63135.71451677545,-1056.171727356006,17466,4.95
250805,3116,Vimperk,2015-12-31,2015,1479.3901423650977,5742.294762342136,180.4809873708381,1551.789404707233,62662.915734787595,1193.8380120551092,17420,4.15
250805,3116,Vimperk,2016-12-31,2016,0,6145.20205480239,366.24592141544116,1695.406671070772,62944.64333122702,589.0380244715074,17408,3.84
250805,3116,Vimperk,2017-12-31,2017,418.9236498157531,6768.37259385076,560.3457508060801,1691.9713196683556,63034.66328535238,904.5124009673019,17368,2.91
250805,3116,Vimperk,2018-12-31,2018,112.43229359369647,7413.994177800617,556.3106657531118,1735.403456092269,65377.26149480415,-2149.9929947470596,17514,2.04
250805,3116,Vimperk,2019-12-31,2019,0,7939.874944063928,585.3230593607306,1649.4430530821917,65559.41543207761,1771.0275507990868,17520,2.6
250805,3116,Vimperk,2020-12-31,2020,50.61252289377289,7532.826019917582,115.37665407509157,1884.4105729166668,70233.82078869047,-2039.9654635988954,17472,2.87
250996,3101,Blatná,2007-12-31,2007,0,4792.990335004723,226.6521328391832,841.877770510864,63968.477581571104,1289.9186105660926,13761,4.32
250996,3101,Blatná,2008-12-31,2008,935.8358369869906,5279.390498095307,3.3558542370444906,998.7615898799684,65795.31948537339,-92.65722705383455,13913,4.53
250996,3101,Blatná,2009-12-31,2009,371.6916279402302,4526.005576606849,86.3744905984128,899.7283191534997,51973.00493315221,779.7762207764353,13987,6.46
250996,3101,Blatná,2010-12-31,2010,108.67778723404255,5072.929679047962,202.47024882798414,1227.017670393076,53076.7464839524,197.34439235485036,13865,7.27
250996,3101,Blatná,2011-12-31,2011,4281.557251082251,4878.273277056277,16.1482683982684,1346.4873152958155,34537.083013708514,1253.2346226551226,13860,6.96
250996,3101,Blatná,2012-12-31,2012,3291.135213619605,4939.390436637027,53.16272681269428,1001.7545058917083,36645.315619894456,-1818.0032306802575,13833,6.71
250996,3101,Blatná,2013-12-31,2013,113.5946649316851,6061.145073375262,23.425142774524687,1066.4753683221281,41558.65253524181,-118.82954818188317,13833,6.46
250996,3101,Blatná,2014-12-31,2014,0,6381.369546773024,38.41334300217549,1357.8034684554023,39280.85509354605,2791.4536142131983,13790,6.22
250996,3101,Blatná,2015-12-31,2015,0,6561.038076448828,43.4359904257634,1178.3168042358743,39437.681213461954,774.5123964604337,13787,5.04
250996,3101,Blatná,2016-12-31,2016,106.49730084622118,7121.071127079078,46.906915669681936,1263.1441282462797,40258.57161511527,1000.2191245987744,13708,3.59
250996,3101,Blatná,2017-12-31,2017,0,7529.85810361182,35.45290040131339,1234.7418854432688,39346.016106530464,1929.821122947829,13705,2.49
250996,3101,Blatná,2018-12-31,2018,130.37890857184686,8330.424354000439,96.7486274796867,1295.46673376766,40141.19673303565,1953.6735290242295,13661,1.89
250996,3101,Blatná,2019-12-31,2019,1842.8506782265144,8880.912293678666,204.19615159496635,1393.4144381035997,43330.69287752415,-1110.7714376646181,13668,1.68
250996,3101,Blatná,2020-12-31,2020,125.58953249044399,8425.66212584534,51.617171420170536,1270.6530983534255,44617.683848867986,2010.7878822405175,13604,2.58
251810,3111,Strakonice,2007-12-31,2007,0,5842.338547757209,578.9793261699358,1442.7409924320984,65183.43114974737,-412.45283851466144,45323,3.72
251810,3111,Strakonice,2008-12-31,2008,869.797285569687,6224.453417242442,873.1628746204286,1610.330942217137,66109.02301632708,407.1275799850372,45446,4.41
251810,3111,Strakonice,2009-12-31,2009,1485.103287386331,5591.119543332522,681.962298382636,1695.319158351218,71048.28926698674,-3101.9585370710447,45197,6.6
251810,3111,Strakonice,2010-12-31,2010,6401.015719745505,5618.98422657182,427.86859894843815,1634.828568903813,79357.92868819865,-3004.112358061238,45266,7.93
251810,3111,Strakonice,2011-12-31,2011,5180.89994402531,5385.9129140025225,433.13567114316686,1882.222839885838,65178.36667802385,-2584.7882579260604,45199,6.39
251810,3111,Strakonice,2012-12-31,2012,1460.5180229879966,5570.705845550782,797.9132922886122,1853.0626205873232,70037.62677392922,-1087.8695304956373,45154,6.44
251810,3111,Strakonice,2013-12-31,2013,2805.599143338805,6394.465325850672,272.6602635198083,1932.995462712391,67673.120132869,968.7320021294507,45082,6.49
