"year","municipality_id","municipality_name","vote_percentage","party_id","party_name","party_name_short","winer","coallition"
2006,7112,"Uničov",36.74,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7113,"Zábřeh",36.17,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7201,"Bystřice pod Hostýnem",35.26,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7202,"Holešov",36.8,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7203,"Kroměříž",35.05,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7204,"Luhačovice",34.13,53,"Občanská demokratická strana","ODS",1,1
2006,7205,"Otrokovice",39.91,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7206,"Rožnov pod Radhoštěm",41.43,53,"Občanská demokratická strana","ODS",1,1
2006,7207,"Uherské Hradiště",35.25,53,"Občanská demokratická strana","ODS",1,1
2006,7208,"Uherský Brod",34.03,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7209,"Valašské Klobouky",34.98,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,7210,"Valašské Meziříčí",36.65,53,"Občanská demokratická strana","ODS",1,1
2006,7211,"Vizovice",39.09,53,"Občanská demokratická strana","ODS",1,1
2006,7212,"Vsetín",38.06,53,"Občanská demokratická strana","ODS",1,1
2006,7213,"Zlín",41,53,"Občanská demokratická strana","ODS",1,1
2006,8101,"Bílovec",36.58,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8102,"Bohumín",47,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8103,"Bruntál",36.76,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8104,"Český Těšín",40.69,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8105,"Frenštát pod Radhoštěm",36.75,53,"Občanská demokratická strana","ODS",1,1
2006,8106,"Frýdek-Místek",41.9,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8107,"Frýdlant nad Ostravicí",38.29,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8108,"Havířov",47.22,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8109,"Hlučín",41.52,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8110,"Jablunkov",40.81,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8111,"Karviná",52.83,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8112,"Kopřivnice",35.98,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8113,"Kravaře",35.9,53,"Občanská demokratická strana","ODS",1,1
2006,8114,"Krnov",40.76,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8115,"Nový Jičín",34.32,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8116,"Odry",36.43,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8117,"Opava",37.56,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8118,"Orlová",50.71,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8119,"Ostrava",39.64,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8120,"Rýmařov",39.84,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8121,"Třinec",45.14,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,8122,"Vítkov",35.67,7,"Česká strana sociálně demokratická","ČSSD",0,0
2010,2101,"Benešov",24.92,53,"Občanská demokratická strana","ODS",0,1
2010,2102,"Beroun",23.41,53,"Občanská demokratická strana","ODS",0,1
2010,2103,"Brandýs nad Labem-Stará Boleslav",26.24,53,"Občanská demokratická strana","ODS",0,1
2010,2104,"Čáslav",31.24,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,2105,"Černošice",36.46,721,"TOP 09","TOP 09",0,1
2010,2106,"Český Brod",26.53,53,"Občanská demokratická strana","ODS",0,1
2010,2107,"Dobříš",25.24,53,"Občanská demokratická strana","ODS",0,1
2010,2108,"Hořovice",24.34,53,"Občanská demokratická strana","ODS",0,1
2010,2109,"Kladno",23.01,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,2110,"Kolín",24.43,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,2111,"Kralupy nad Vltavou",23.36,53,"Občanská demokratická strana","ODS",0,1
2010,2112,"Kutná Hora",23.73,53,"Občanská demokratická strana","ODS",0,1
2010,2113,"Lysá nad Labem",25.71,53,"Občanská demokratická strana","ODS",0,1
2010,2114,"Mělník",26.69,53,"Občanská demokratická strana","ODS",0,1
2010,2115,"Mladá Boleslav",27.03,53,"Občanská demokratická strana","ODS",0,1
2010,2116,"Mnichovo Hradiště",24.78,53,"Občanská demokratická strana","ODS",0,1
2010,2117,"Neratovice",22.42,53,"Občanská demokratická strana","ODS",0,1
2010,2118,"Nymburk",23.12,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,2119,"Poděbrady",29.5,53,"Občanská demokratická strana","ODS",0,1
2010,2120,"Příbram",24.7,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,2121,"Rakovník",24.05,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,2122,"Říčany",29.8,721,"TOP 09","TOP 09",0,1
2010,2123,"Sedlčany",27.97,53,"Občanská demokratická strana","ODS",0,1
2010,2124,"Slaný",24.01,53,"Občanská demokratická strana","ODS",0,1
2010,2125,"Vlašim",25.45,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,2126,"Votice",27,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3101,"Blatná",24.76,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3102,"České Budějovice",23.31,53,"Občanská demokratická strana","ODS",0,1
2010,3103,"Český Krumlov",22.46,53,"Občanská demokratická strana","ODS",0,1
2010,3104,"Dačice",20.24,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3105,"Jindřichův Hradec",22.28,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3106,"Kaplice",22.21,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3107,"Milevsko",23.21,53,"Občanská demokratická strana","ODS",0,1
2010,3108,"Písek",24.11,53,"Občanská demokratická strana","ODS",0,1
2010,3109,"Prachatice",23.79,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3110,"Soběslav",23.72,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3111,"Strakonice",23.39,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3112,"Tábor",23.33,53,"Občanská demokratická strana","ODS",0,1
2010,3113,"Trhové Sviny",20.78,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3114,"Třeboň",23.38,53,"Občanská demokratická strana","ODS",0,1
2010,3115,"Týn nad Vltavou",19.75,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3116,"Vimperk",22.92,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3117,"Vodňany",22.62,53,"Občanská demokratická strana","ODS",0,1
2010,3201,"Blovice",23.12,53,"Občanská demokratická strana","ODS",0,1
2010,3202,"Domažlice",25.44,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3203,"Horažďovice",26.16,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3204,"Horšovský Týn",22.69,53,"Občanská demokratická strana","ODS",0,1
2010,3205,"Klatovy",22.72,53,"Občanská demokratická strana","ODS",0,1
2010,3206,"Kralovice",22.43,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3207,"Nepomuk",21.59,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3208,"Nýřany",24.42,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3209,"Plzeň",23.67,53,"Občanská demokratická strana","ODS",0,1
2010,3210,"Přeštice",23.27,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3211,"Rokycany",23.08,53,"Občanská demokratická strana","ODS",0,1
2010,3212,"Stod",24.33,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3213,"Stříbro",23.97,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,3214,"Sušice",23.16,53,"Občanská demokratická strana","ODS",0,1
2010,3215,"Tachov",25.16,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4101,"Aš",24.67,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4102,"Cheb",26.19,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,4103,"Karlovy Vary",22.11,721,"TOP 09","TOP 09",0,1
