"","municipality_id","municipality","district_id","distric","NUTS_3_id","NUTS_3","NUTS_2_id","NUTS_2","ico","name"
"75",5305,"Králíky","CZ0534","Ústí nad Orlicí","CZ053","Pardubický kraj","CZ05","Severovýchod","00279072","Město Králíky"
"76",3206,"Kralovice","CZ0325","Plzeň-sever","CZ032","Plzeňský kraj","CZ03","Jihozápad","00257966","Město Kralovice"
"77",2111,"Kralupy nad Vltavou","CZ0206","Mělník","CZ020","Středočeský kraj","CZ02","Střední Čechy","00236977","Město Kralupy nad Vltavou"
"78",4104,"Kraslice","CZ0413","Sokolov","CZ041","Karlovarský kraj","CZ04","Severozápad","00259438","Město Kraslice"
"79",8113,"Kravaře","CZ0805","Opava","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00300292","Město Kravaře"
"80",8114,"Krnov","CZ0801","Bruntál","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00296139","Město Krnov"
"81",7203,"Kroměříž","CZ0721","Kroměříž","CZ072","Zlínský kraj","CZ07","Střední Morava","00287351","Město Kroměříž"
"82",6209,"Kuřim","CZ0643","Brno-venkov","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00281964","Město Kuřim"
"83",2112,"Kutná Hora","CZ0205","Kutná Hora","CZ020","Středočeský kraj","CZ02","Střední Čechy","00236195","Město Kutná Hora"
"84",6210,"Kyjov","CZ0645","Hodonín","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00285030","Město Kyjov"
"85",5306,"Lanškroun","CZ0534","Ústí nad Orlicí","CZ053","Pardubický kraj","CZ05","Severovýchod","00279102","Město Lanškroun"
"86",5105,"Liberec","CZ0513","Liberec","CZ051","Liberecký kraj","CZ05","Severovýchod","00262978","Statutární město Liberec"
"87",7104,"Lipník nad Bečvou","CZ0714","Přerov","CZ071","Olomoucký kraj","CZ07","Střední Morava","00301493","Město Lipník nad Bečvou"
"88",4205,"Litoměřice","CZ0423","Litoměřice","CZ042","Ústecký kraj","CZ04","Severozápad","00263958","Město Litoměřice"
"89",5307,"Litomyšl","CZ0533","Svitavy","CZ053","Pardubický kraj","CZ05","Severovýchod","00276944","Město Litomyšl"
"90",7105,"Litovel","CZ0712","Olomouc","CZ071","Olomoucký kraj","CZ07","Střední Morava","00299138","Město Litovel"
"91",4206,"Litvínov","CZ0425","Most","CZ042","Ústecký kraj","CZ04","Severozápad","00266027","Město Litvínov"
"92",4207,"Louny","CZ0424","Louny","CZ042","Ústecký kraj","CZ04","Severozápad","00265209","Město Louny"
"93",4208,"Lovosice","CZ0423","Litoměřice","CZ042","Ústecký kraj","CZ04","Severozápad","00263991","Město Lovosice"
"94",7204,"Luhačovice","CZ0724","Zlín","CZ072","Zlínský kraj","CZ07","Střední Morava","00284165","Město Luhačovice"
"95",2113,"Lysá nad Labem","CZ0208","Nymburk","CZ020","Středočeský kraj","CZ02","Střední Čechy","00239402","Město Lysá nad Labem"
"96",4105,"Mariánské Lázně","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad","00254061","Město Mariánské Lázně"
"97",2114,"Mělník","CZ0206","Mělník","CZ020","Středočeský kraj","CZ02","Střední Čechy","00237051","Město Mělník"
"98",6211,"Mikulov","CZ0644","Břeclav","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00283347","Město Mikulov"
"99",3107,"Milevsko","CZ0314","Písek","CZ031","Jihočeský kraj","CZ03","Jihozápad","00249831","Město Milevsko"
"100",2115,"Mladá Boleslav","CZ0207","Mladá Boleslav","CZ020","Středočeský kraj","CZ02","Střední Čechy","00238295","Statutární město Mladá Boleslav"
"101",2116,"Mnichovo Hradiště","CZ0207","Mladá Boleslav","CZ020","Středočeský kraj","CZ02","Střední Čechy","00238309","Město Mnichovo Hradiště"
"102",7106,"Mohelnice","CZ0715","Šumperk","CZ071","Olomoucký kraj","CZ07","Střední Morava","00303038","Město Mohelnice"
"103",5308,"Moravská Třebová","CZ0533","Svitavy","CZ053","Pardubický kraj","CZ05","Severovýchod","00277037","Město Moravská Třebová"
"104",6106,"Moravské Budějovice","CZ0634","Třebíč","CZ063","Kraj Vysočina","CZ06","Jihovýchod","00289931","Město Moravské Budějovice"
"105",6212,"Moravský Krumlov","CZ0647","Znojmo","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00293199","Město Moravský Krumlov"
"106",4209,"Most","CZ0425","Most","CZ042","Ústecký kraj","CZ04","Severozápad","00266094","Statutární město Most"
"107",5209,"Náchod","CZ0523","Náchod","CZ052","Královéhradecký kraj","CZ05","Severovýchod","00272868","Město Náchod"
"108",6107,"Náměšť nad Oslavou","CZ0634","Třebíč","CZ063","Kraj Vysočina","CZ06","Jihovýchod","00289965","Město Náměšť nad Oslavou"
"109",3207,"Nepomuk","CZ0324","Plzeň-jih","CZ032","Plzeňský kraj","CZ03","Jihozápad","00256986","Město Nepomuk"
"110",2117,"Neratovice","CZ0206","Mělník","CZ020","Středočeský kraj","CZ02","Střední Čechy","00237108","Město Neratovice"
"111",5210,"Nová Paka","CZ0522","Jičín","CZ052","Královéhradecký kraj","CZ05","Severovýchod","00271888","Město Nová Paka"
"112",6108,"Nové Město na Moravě","CZ0635","Žďár nad Sázavou","CZ063","Kraj Vysočina","CZ06","Jihovýchod","00294900","Město Nové Město na Moravě"
"113",5211,"Nové Město nad Metují","CZ0523","Náchod","CZ052","Královéhradecký kraj","CZ05","Severovýchod","00272876","Město Nové Město nad Metují"
