ID,IČO,Název,Od,Do,DIČ,Adresa,Ulice,PSČ,Sídlo,Zřizovatel,Počet obyvatel,Kraj,Obec,Základní územní jednotka ,Datum vzniku,Kapitola ID,Druh ÚJ ,NACE,NUTS,COFOG,municipality
6.07565014769883E+018,00532134,Obec Osiky,44562,2958465,CZ00532134,"Osiky 38, 679 23 Lomnice",Osiky 38,679 23,Lomnice,00532134,123,CZ064,Osiky,582174,33201,0,4,84110,CZ0643,0,
6.69742242161469E+018,00303101,Obec Oskava,44562,2958465,CZ00303101,788 01 Oskava 112, ,788 01,Oskava 112,00303101,1281,CZ071,Oskava,540544,29495,0,4,84110,CZ0715,0,
7.83035526438931E+018,00239577,Obec Oskořínek,44562,2958465,CZ00239577,289 32 Oskořínek 3, ,289 32,Oskořínek 3,00239577,567,CZ020,Oskořínek,537616,26846,0,4,84110,CZ0208,0,
3.31978357791731E+018,00282286,Město Oslavany,44562,2958465,CZ00282286,"nám. 13.prosince 2, 664 12 Oslavany",nám. 13.prosince 2,664 12,Oslavany,00282286,4733,CZ064,Oslavany,583588,26846,0,4,84110,CZ0643,0,
5.08605798933998E+018,00842524,Obec Oslavice,44562,2958465,CZ00842524,"Oslavice 1, 594 01 Velké Meziříčí",Oslavice 1,594 01,Velké Meziříčí,00842524,682,CZ063,Oslavice,596337,33604,0,4,84110,CZ0635,0,
9.17334380402929E+017,00378305,Obec Oslavička,44562,2958465,CZ00378305,"Oslavička 39, 675 05 Rudíkov",Oslavička 39,675 05,Rudíkov,00378305,127,CZ063,Oslavička,511412,33201,0,4,84110,CZ0635,0,
1.57224290291538E+018,00636908,Obec Oslnovice,44562,2958465,CZ00636908,"Oslnovice 1, 671 07 Uherčice",Oslnovice 1,671 07,Uherčice,00636908,79,CZ064,Oslnovice,594598,33201,0,4,84110,CZ0647,0,
2.35938188209461E+018,00249955,Obec Oslov,44562,2958465,CZ00249955,"Oslov 86, 398 35 Oslov",Oslov 86,398 35,Oslov,00249955,340,CZ031,Oslov,549703,30590,0,4,84110,CZ0314,0,
8.3689900953805E+016,00296279,Obec Osoblaha,44562,2958465,CZ00296279,"Na Náměstí 106, 793 99 Osoblaha",Na Náměstí 106,793 99,Osoblaha,00296279,1100,CZ080,Osoblaha,597716,29495,0,4,84110,CZ0801,0,
4.23179320564872E+018,00233692,Obec Osov,44562,2958465,CZ00233692,267 25 Osov 18, ,267 25,Osov 18,00233692,323,CZ020,Osov,531642,26846,0,4,84110,CZ0202,0,
1.89902125372728E+018,00084409,Obec Osová Bítýška,44562,2958465,CZ00084409,594 53 Osová Bítýška 3, ,594 53,Osová Bítýška 3,00084409,930,CZ063,Osová Bítýška,596345,29242,0,4,84110,CZ0635,0,
4.82636885844362E+018,00842532,Obec Osové,44562,2958465,CZ00842532,"Osové 14, 594 01 Velké Meziříčí",Osové 14,594 01,Velké Meziříčí,00842532,92,CZ063,Osové,596353,33604,0,4,84110,CZ0635,0,
8.27191310146313E+018,00378313,Obec Ostašov,44562,2958465,CZ00378313,"Ostašov, 675 52 Lipník",Ostašov ,675 52,Lipník,00378313,152,CZ063,Ostašov,591335,33201,0,4,84110,CZ0634,0,
3.60814808783745E+018,00282294,Obec Ostopovice,44562,2958465,CZ00282294,"U Kaple 5, 664 49 Ostopovice",U Kaple 5,664 49,Ostopovice,00282294,1766,CZ064,Ostopovice,583596,26846,0,4,84110,CZ0643,0,
8.67583282481497E+017,00239585,Obec Ostrá,44562,2958465,CZ00239585,"Ostrá 172, 289 22 Lysá nad Labem",Ostrá 172,289 22,Lysá nad Labem,00239585,577,CZ020,Ostrá,537624,26846,0,4,84110,CZ0208,0,
