municipality_id,municipality,district_id,distric,NUTS_3_id,NUTS_3,NUTS_2_id,NUTS_2
4202,Děčín,CZ0421,Děčín,CZ042,Ústecký kraj,CZ04,Severozápad
2107,Dobříš,CZ020B,Příbram,CZ020,Středočeský kraj,CZ02,Střední Čechy
5202,Dobruška,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,CZ05,Severovýchod
3202,Domažlice,CZ0321,Domažlice,CZ032,Plzeňský kraj,CZ03,Jihozápad
5203,Dvůr Králové nad Labem,CZ0525,Trutnov,CZ052,Královéhradecký kraj,CZ05,Severovýchod
8105,Frenštát pod Radhoštěm,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
8106,Frýdek-Místek,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
5102,Frýdlant,CZ0513,Liberec,CZ051,Liberecký kraj,CZ05,Severovýchod
8107,Frýdlant nad Ostravicí,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
8108,Havířov,CZ0803,Karviná,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
6102,Havlíčkův Brod,CZ0631,Havlíčkův Brod,CZ063,Kraj Vysočina,CZ06,Jihovýchod
5302,Hlinsko,CZ0531,Chrudim,CZ053,Pardubický kraj,CZ05,Severovýchod
8109,Hlučín,CZ0805,Opava,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
6206,Hodonín,CZ0645,Hodonín,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
7202,Holešov,CZ0721,Kroměříž,CZ072,Zlínský kraj,CZ07,Střední Morava
5303,Holice,CZ0532,Pardubice,CZ053,Pardubický kraj,CZ05,Severovýchod
3203,Horažďovice,CZ0322,Klatovy,CZ032,Plzeňský kraj,CZ03,Jihozápad
5204,Hořice,CZ0522,Jičín,CZ052,Královéhradecký kraj,CZ05,Severovýchod
2108,Hořovice,CZ0202,Beroun,CZ020,Středočeský kraj,CZ02,Střední Čechy
3204,Horšovský Týn,CZ0321,Domažlice,CZ032,Plzeňský kraj,CZ03,Jihozápad
5205,Hradec Králové,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,CZ05,Severovýchod
7101,Hranice,CZ0714,Přerov,CZ071,Olomoucký kraj,CZ07,Střední Morava
6103,Humpolec,CZ0633,Pelhřimov,CZ063,Kraj Vysočina,CZ06,Jihovýchod
6207,Hustopeče,CZ0644,Břeclav,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
6208,Ivančice,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
5103,Jablonec nad Nisou,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,CZ05,Severovýchod
8110,Jablunkov,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
5206,Jaroměř,CZ0523,Náchod,CZ052,Královéhradecký kraj,CZ05,Severovýchod
7102,Jeseník,CZ0711,Jeseník,CZ071,Olomoucký kraj,CZ07,Střední Morava
5207,Jičín,CZ0522,Jičín,CZ052,Královéhradecký kraj,CZ05,Severovýchod
6105,Jihlava,CZ0632,Jihlava,CZ063,Kraj Vysočina,CZ06,Jihovýchod
5104,Jilemnice,CZ0514,Semily,CZ051,Liberecký kraj,CZ05,Severovýchod
3105,Jindřichův Hradec,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,CZ03,Jihozápad
4204,Kadaň,CZ0422,Chomutov,CZ042,Ústecký kraj,CZ04,Severozápad
3106,Kaplice,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,CZ03,Jihozápad
4103,Karlovy Vary,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,CZ04,Severozápad
8111,Karviná,CZ0803,Karviná,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
2109,Kladno,CZ0203,Kladno,CZ020,Středočeský kraj,CZ02,Střední Čechy
3205,Klatovy,CZ0322,Klatovy,CZ032,Plzeňský kraj,CZ03,Jihozápad
2110,Kolín,CZ0204,Kolín,CZ020,Středočeský kraj,CZ02,Střední Čechy
7103,Konice,CZ0713,Prostějov,CZ071,Olomoucký kraj,CZ07,Střední Morava
8112,Kopřivnice,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
5208,Kostelec nad Orlicí,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,CZ05,Severovýchod
5305,Králíky,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,CZ05,Severovýchod
3206,Kralovice,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,CZ03,Jihozápad
2111,Kralupy nad Vltavou,CZ0206,Mělník,CZ020,Středočeský kraj,CZ02,Střední Čechy
4104,Kraslice,CZ0413,Sokolov,CZ041,Karlovarský kraj,CZ04,Severozápad
8113,Kravaře,CZ0805,Opava,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
8114,Krnov,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
7203,Kroměříž,CZ0721,Kroměříž,CZ072,Zlínský kraj,CZ07,Střední Morava
6209,Kuřim,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
2112,Kutná Hora,CZ0205,Kutná Hora,CZ020,Středočeský kraj,CZ02,Střední Čechy
6210,Kyjov,CZ0645,Hodonín,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
5306,Lanškroun,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,CZ05,Severovýchod
