"ico","year","Saldo_CZK"
"00253901","2009/12",-118950580
"00253979","2009/12",-104336380
"00254061","2009/12",25273010
"00254657","2009/12",-430825860
"00254843","2009/12",-14683780
"00255513","2009/12",13415750
"00255661","2009/12",-131448200
"00256129","2009/12",-50001250
"00256455","2009/12",3762590
"00256986","2009/12",-9552700
"00257125","2009/12",587830
"00257265","2009/12",4536690
"00257966","2009/12",-10510480
"00258199","2009/12",11298820
"00259047","2009/12",-93386080
"00259438","2009/12",-3827390
"00259586","2009/12",-124353770
"00260177","2009/12",11635740
"00260231","2009/12",-21264040
"00260428","2009/12",119810970
"00260771","2009/12",-11049040
"00261238","2009/12",-117643370
"00261602","2009/12",-2635520
"00261718","2009/12",-10473750
"00261891","2009/12",-42752490
"00261912","2009/12",-37425410
"00262340","2009/12",-172858980
"00262587","2009/12",-18348190
"00262633","2009/12",3641150
"00262781","2009/12",-18402840
"00262978","2009/12",-96694970
"00263958","2009/12",-248983580
"00263991","2009/12",2789530
"00264334","2009/12",-127117070
"00265209","2009/12",-73175900
"00265365","2009/12",-14301020
"00265781","2009/12",-70101720
"00266027","2009/12",-92221650
"00266094","2009/12",-158398390
"00266230","2009/12",-2253770
"00266621","2009/12",-29069840
"00267449","2009/12",49147050
"00267538","2009/12",9777130
"00268321","2009/12",-28145870
"00268810","2009/12",-382760480
"00269247","2009/12",-17793870
"00270059","2009/12",-7824260
"00270211","2009/12",-82414440
"00271560","2009/12",-23756560
"00271632","2009/12",-49992510
"00271888","2009/12",-33736980
"00272523","2009/12",-7659320
"00272728","2009/12",-59404950
"00272868","2009/12",88449280
"00272876","2009/12",-26105250
"00273571","2009/12",-13708830
"00274046","2009/12",-155734820
"00274101","2009/12",20777660
"00274879","2009/12",-15605930
"00274968","2009/12",3115180
"00275336","2009/12",-26516650
"00275808","2009/12",-16841770
"00276111","2009/12",-22557660
"00276227","2009/12",44938580
"00276944","2009/12",-11089300
"00277037","2009/12",44811680
"00277177","2009/12",-4079710
"00277444","2009/12",-13487380
"00277819","2009/12",-940510
"00278360","2009/12",-163015690
"00278475","2009/12",-163081780
"00278653","2009/12",-67910130
"00279072","2009/12",-18926760
"00279102","2009/12",18508820
"00279676","2009/12",-33617350
"00279773","2009/12",-51317780
"00279846","2009/12",4665340
"00279943","2009/12",13403810
"00279978","2009/12",-11007950
"00281859","2009/12",-6627270
"00281964","2009/12",-34162550
"00282481","2009/12",-12376640
"00282651","2009/12",-17768670
"00282707","2009/12",-15988970
"00282979","2009/12",-2217300
"00283061","2009/12",164900620
"00283193","2009/12",-34603670
"00283347","2009/12",-26790890
"00283509","2009/12",1760050
"00283924","2009/12",3097130
"00284165","2009/12",-12090860
"00284301","2009/12",-53486520
