"year","ico","class_of_revenue","Revenue_CZK"
"2010","00276227","Nedaňové příjmy",61723960
"2010","00276944","Daňové příjmy",114329810
"2010","00276944","Kapitálové příjmy",823290
"2010","00276944","Nedaňové příjmy",12529560
"2010","00277037","Daňové příjmy",119231370
"2010","00277037","Kapitálové příjmy",8024320
"2010","00277037","Nedaňové příjmy",27779500
"2010","00277177","Daňové příjmy",93259370
"2010","00277177","Kapitálové příjmy",26180470
"2010","00277177","Nedaňové příjmy",51352910
"2010","00277444","Daňové příjmy",185982230
"2010","00277444","Kapitálové příjmy",39769520
"2010","00277444","Nedaňové příjmy",68571800
"2010","00277819","Daňové příjmy",173103970
"2010","00277819","Kapitálové příjmy",29037210
"2010","00277819","Nedaňové příjmy",57082710
"2010","00278360","Daňové příjmy",319214350
"2010","00278360","Kapitálové příjmy",66221780
"2010","00278360","Nedaňové příjmy",49617280
"2010","00278475","Daňové příjmy",130595880
"2010","00278475","Kapitálové příjmy",11644570
"2010","00278475","Nedaňové příjmy",117940760
"2010","00278653","Daňové příjmy",151210070
"2010","00278653","Kapitálové příjmy",40927500
"2010","00278653","Nedaňové příjmy",16194400
"2010","00279072","Daňové příjmy",40996850
"2010","00279072","Kapitálové příjmy",3082860
"2010","00279072","Nedaňové příjmy",9562000
"2010","00279102","Daňové příjmy",100386310
"2010","00279102","Kapitálové příjmy",5838440
"2010","00279102","Nedaňové příjmy",23070430
"2010","00279676","Daňové příjmy",137964610
"2010","00279676","Kapitálové příjmy",20527730
"2010","00279676","Nedaňové příjmy",24504750
"2010","00279773","Daňové příjmy",125835080
"2010","00279773","Kapitálové příjmy",10504660
"2010","00279773","Nedaňové příjmy",27859840
"2010","00279846","Daňové příjmy",63444810
"2010","00279846","Kapitálové příjmy",32467650
"2010","00279846","Nedaňové příjmy",11461900
"2010","00279943","Daňové příjmy",208839700
"2010","00279943","Kapitálové příjmy",70931200
"2010","00279943","Nedaňové příjmy",44867180
"2010","00279978","Daňové příjmy",112908930
"2010","00279978","Kapitálové příjmy",35438280
"2010","00279978","Nedaňové příjmy",42245870
"2010","00281859","Daňové příjmy",88967050
"2010","00281859","Kapitálové příjmy",1892180
"2010","00281859","Nedaňové příjmy",9396860
"2010","00281964","Daňové příjmy",103887600
"2010","00281964","Kapitálové příjmy",277020
"2010","00281964","Nedaňové příjmy",32432980
"2010","00282481","Daňové příjmy",53523010
"2010","00282481","Kapitálové příjmy",1447820
"2010","00282481","Nedaňové příjmy",5185280
"2010","00282651","Daňové příjmy",69264000
"2010","00282651","Kapitálové příjmy",533450
"2010","00282651","Nedaňové příjmy",15292420
"2010","00282707","Daňové příjmy",80060760
"2010","00282707","Kapitálové příjmy",5247420
"2010","00282707","Nedaňové příjmy",20777780
"2010","00282979","Daňové příjmy",34458580
"2010","00282979","Kapitálové příjmy",5089610
"2010","00282979","Nedaňové příjmy",16500740
"2010","00283061","Daňové příjmy",321361120
"2010","00283061","Kapitálové příjmy",34048710
"2010","00283061","Nedaňové příjmy",57587070
"2010","00283193","Daňové příjmy",65383060
"2010","00283193","Kapitálové příjmy",7397020
"2010","00283193","Nedaňové příjmy",26959950
"2010","00283347","Daňové příjmy",79200790
"2010","00283347","Kapitálové příjmy",11272970
"2010","00283347","Nedaňové příjmy",32941830
"2010","00283509","Daňové příjmy",51342000
"2010","00283509","Kapitálové příjmy",13148130
"2010","00283509","Nedaňové příjmy",32492570
"2010","00283924","Daňové příjmy",913555070
"2010","00283924","Kapitálové příjmy",152139330
"2010","00283924","Nedaňové příjmy",257888660
"2010","00284165","Daňové příjmy",57293830
"2010","00284165","Kapitálové příjmy",6785620
"2010","00284165","Nedaňové příjmy",16345350
"2010","00284301","Daňové příjmy",206419360
"2010","00284301","Kapitálové příjmy",19912750
"2010","00284301","Nedaňové příjmy",42795800
"2010","00284611","Daňové příjmy",49857870
"2010","00284611","Kapitálové příjmy",2172620
"2010","00284611","Nedaňové příjmy",14900840
"2010","00284653","Daňové příjmy",40647880
"2010","00284653","Kapitálové příjmy",2859150
"2010","00284653","Nedaňové příjmy",8333650
"2010","00284891","Daňové příjmy",268173910
"2010","00284891","Kapitálové příjmy",24792940
"2010","00284891","Nedaňové příjmy",51911660
"2010","00285030","Daňové příjmy",132135090
"2010","00285030","Kapitálové příjmy",21431750
"2010","00285030","Nedaňové příjmy",24936340
"2010","00285455","Daňové příjmy",116139330
"2010","00285455","Kapitálové příjmy",7607350
"2010","00285455","Nedaňové příjmy",19589110
"2010","00286010","Daňové příjmy",611622110
"2010","00286010","Kapitálové příjmy",82360390
"2010","00286010","Nedaňové příjmy",45043160
"2010","00286745","Daňové příjmy",50898810
"2010","00286745","Kapitálové příjmy",25513800
"2010","00286745","Nedaňové příjmy",13646790
"2010","00287113","Daňové příjmy",89849300
"2010","00287113","Kapitálové příjmy",5242780
"2010","00287113","Nedaňové příjmy",32446360
"2010","00287172","Daňové příjmy",123119080
"2010","00287172","Kapitálové příjmy",35055750
"2010","00287172","Nedaňové příjmy",35804610
"2010","00287351","Daňové příjmy",291446270
"2010","00287351","Kapitálové příjmy",20128650
"2010","00287351","Nedaňové příjmy",29092140
"2010","00288365","Daňové příjmy",26400240
"2010","00288365","Kapitálové příjmy",77940
"2010","00288365","Nedaňové příjmy",11198550
"2010","00288659","Daňové příjmy",537026740
"2010","00288659","Kapitálové příjmy",86551940
"2010","00288659","Nedaňové příjmy",122939650
"2010","00289931","Daňové příjmy",75262290
"2010","00289931","Kapitálové příjmy",3413090
"2010","00289931","Nedaňové příjmy",7325700
"2010","00289965","Daňové příjmy",50068390
