"year","ico","lg_tangible_assets_CZK"
"2012","00272868",1539636199.96
"2012","00275336",1449797464.67
"2012","00274879",694306065.31
"2012","00274968",578072612.12
"2012","00278475",2140625410.94
"2012","00278360",2204456207.15
"2012","00277819",2251587926.44
"2012","00270211",2301639955.99
"2012","00270059",1028573813.19
"2012","00274101",622084041.18
"2012","00273571",438227848.28
"2012","00274046",8406306663.03
"2012","00277177",1515443832.13
"2012","00277444",1315616621.17
"2012","00277037",1338670073.96
"2012","00267449",1882931664.81
"2012","00267538",678567518.76
"2012","00248801",2038717833.08
"2012","00248266",835275692.72
"2012","00268321",661885856.38
"2012","00248789",819631802.72
"2012","00276944",1855043068.32
"2012","00290629",2927954185.57
"2012","00279102",1064028768.02
"2012","00289931",589944050.67
"2012","00289965",351219020.23
"2012","00279773",1224786602.24
"2012","00279676",922593972.79
"2012","00279846",605375225.53
"2012","00286010",5252724943.03
"2012","00279072",689340315.92
"2012","00278653",1303736906.52
"2012","00286745",855543773.61
"2012","00283061",1774638776.17
"2012","00283347",649999499.53
"2012","00283193",450002658.7
"2012","00279978",1105130993.99
"2012","00279943",1594524567.27
"2012","00295841",1982830473.83
"2012","00295671",1036177663.89
"2012","00294136",1397198056.51
"2012","00285030",900429657.05
"2012","00284891",1894818183.03
"2012","00285455",1099872259.5
"2012","00294900",553811005.75
"2012","00291676",494247670.22
"2012","44992785",46214755234.83
"2012","00293881",2576481698.71
"2012","00293199",220410102.56
"2012","00292427",1172962269.77
"2012","00292311",650988048.35
"2012","00302724",693286991.82
"2012","00282481",310580907.62
"2012","00282979",285084971.8
"2012","00281964",753651988.13
"2012","00282651",601016910.29
"2012","00283509",514300689.65
"2012","00282707",586117709.13
"2012","00281859",734523339.81
"2012","00303038",912327416.95
"2012","00303640",678061994.36
"2012","00299138",1031918707.66
"2012","00301311",1036521340.35
"2012","00299634",1466430680.53
"2012","00301493",476175792.53
"2012","00303461",2125872274.81
"2012","00299308",13056276868.86
"2012","00299529",1026037037.19
"2012","00288659",3653462419.4
"2012","00288365",375065565.41
"2012","00301825",2280685105.4
"2012","00304450",1815903561.31
"2012","00304387",2286952084.78
"2012","00287351",1787249288.42
"2012","00304271",745282750.37
"2012","00287113",655456542.53
"2012","00284301",1425421075.2
"2012","00284611",539385282.82
"2012","00284653",141166157.42
"2012","00284165",1260758513.08
"2012","00291463",2176469192.65
"2012","00291471",2917285210.51
"2012","00287172",930040578.55
"2012","00283924",7963022835.85
"2012","00295892",1116889806.18
"2012","00296317",1007552462.97
"2012","00297534",3710537037.87
"2012","00297488",4184501026.08
"2012","00296139",1788383713.32
"2012","00297569",1535090971.65
"2012","00297437",1140816317.43
"2012","00297577",1244463465.78
"2012","00845451",37456693358.64
"2012","00296651",456139404.35
"2012","00296759",480713742.42
"2012","00297852",873938837.45
"2012","00297313",2589030088.84
"2012","00297755",490521353.04
"2012","00298077",1546623828.63
"2012","00298212",1855541472.56
"2012","00298221",772382962.09
"2012","00300063",539724730.34
"2012","00296643",2697928101.75
"2012","00300870",482298424.36
"2012","00300535",5956825616.81
"2012","00300292",714616254.2
"2013","00233129",1553804644.21
"2013","00232947",1231337075.04
"2013","00232963",432282272.18
"2013","00234877",2012096649.35
"2013","00231401",3308183111.94
"2013","00233242",380771352.36
"2013","00235334",407607982.57
"2013","00235440",5486866378.29
"2013","00236021",2051862808.74
"2013","00236195",1843627448.79
"2013","00234516",5780060295.12
"2013","00238295",3910279855.76
"2013","00236977",1335147907.07
"2013","00237051",2287110224.58
"2013","00237108",1098323729.04
"2013","00238309",782169695.75
"2013","00239402",1143771730.21
"2013","00239500",1351060823.98
"2013","00240079",1957636617.04
"2013","00240702",2054663344.22
"2013","00239640",1729652525.14
"2013","00241121",592762173.49
"2013","00242098",831947014.27
"2013","00244309",1644327255.36
"2013","00243132",3509400868.85
"2013","00243272",864114812.65
"2013","00245585",755353671.71
"2013","00247618",2199946945.07
"2013","00244732",8677485656.68
"2013","00246875",2472738231.72
"2013","00245551",393528721.24
"2013","00246476",600112394.57
"2013","00245836",1494552660.76
"2013","00245941",721966087.85
"2013","00249831",721084822.68
"2013","00249998",4310313949.59
"2013","00250627",1710811252.15
"2013","00250805",1047430215.65
"2013","00251984",693618600.73
"2013","00251810",3050839601.83
"2013","00250996",574880840.52
"2013","00252921",807248260.74
"2013","00253383",762025805.07
"2013","00254061",1446491131.8
"2013","00253901",637269964.5
"2013","00253979",3055339898.38
"2013","00254843",1928354694.76
"2013","00253316",3013733722.44
"2013","00253014",4171079283.25
"2013","00256129",1587769647.59
"2013","00075370",25421226771.94
"2013","00254657",9756221274.34
"2013","00255513",956275249.16
"2013","00255661",2865535171.28
"2013","00256455",491631636.68
"2013","00257125",869885113.77
"2013","00257265",452472184.26
"2013","00259047",1749362412.18
"2013","00256986",578710276.69
"2013","00257966",370499505.45
"2013","00258199",427447860.05
"2013","00260177",1043680201.81
"2013","00260231",2452919941.69
"2013","00259438",239348894.03
"2013","00259586",1786741218.8
"2013","00261238",3834456937.35
"2013","00263958",2315008141.34
"2013","00261912",2019592346.43
"2013","00261891",4416443630.14
"2013","00264334",563886745.89
