"ico","year","Class of revenue","Revenue_CZK"
"00290629","2007/12","Daňové příjmy",401970500
"00290629","2007/12","Kapitálové příjmy",97150390
"00290629","2007/12","Nedaňové příjmy",58339650
"00291463","2007/12","Daňové příjmy",192582660
"00291463","2007/12","Kapitálové příjmy",10396730
"00291463","2007/12","Nedaňové příjmy",34378140
"00291471","2007/12","Daňové příjmy",304709730
"00291471","2007/12","Kapitálové příjmy",56139810
"00291471","2007/12","Nedaňové příjmy",98995850
"00291676","2007/12","Daňové příjmy",62127740
"00291676","2007/12","Nedaňové příjmy",14779640
"00292311","2007/12","Daňové příjmy",54913140
"00292311","2007/12","Kapitálové příjmy",343130
"00292311","2007/12","Nedaňové příjmy",4352300
"00292427","2007/12","Daňové příjmy",245619020
"00292427","2007/12","Kapitálové příjmy",193643310
"00292427","2007/12","Nedaňové příjmy",18205800
"00293199","2007/12","Daňové příjmy",54555690
"00293199","2007/12","Kapitálové příjmy",2733440
"00293199","2007/12","Nedaňové příjmy",10948560
"00293881","2007/12","Daňové příjmy",399792990
"00293881","2007/12","Kapitálové příjmy",19529700
"00293881","2007/12","Nedaňové příjmy",137859240
"00294136","2007/12","Daňové příjmy",100195390
"00294136","2007/12","Nedaňové příjmy",13766690
"00294900","2007/12","Daňové příjmy",113208610
"00294900","2007/12","Kapitálové příjmy",3207550
"00294900","2007/12","Nedaňové příjmy",13186080
"00295671","2007/12","Daňové příjmy",128894010
"00295671","2007/12","Kapitálové příjmy",22784310
"00295671","2007/12","Nedaňové příjmy",15779970
"00295841","2007/12","Daňové příjmy",255050870
"00295841","2007/12","Kapitálové příjmy",35003900
"00295841","2007/12","Nedaňové příjmy",102608640
"00295892","2007/12","Daňové příjmy",185418310
"00295892","2007/12","Kapitálové příjmy",14575460
"00295892","2007/12","Nedaňové příjmy",51541800
"00296139","2007/12","Daňové příjmy",247382340
"00296139","2007/12","Kapitálové příjmy",29284970
"00296139","2007/12","Nedaňové příjmy",85595650
"00296317","2007/12","Daňové příjmy",78383060
"00296317","2007/12","Kapitálové příjmy",11537830
"00296317","2007/12","Nedaňové příjmy",31353130
"00296643","2007/12","Daňové příjmy",687783880
"00296643","2007/12","Kapitálové příjmy",30040730
"00296643","2007/12","Nedaňové příjmy",150213200
"00296651","2007/12","Daňové příjmy",82997460
"00296651","2007/12","Kapitálové příjmy",5633830
"00296651","2007/12","Nedaňové příjmy",17358640
"00296759","2007/12","Daňové příjmy",48937610
"00296759","2007/12","Kapitálové příjmy",6324270
"00296759","2007/12","Nedaňové příjmy",11678430
"00297313","2007/12","Daňové příjmy",389304940
"00297313","2007/12","Kapitálové příjmy",26178090
"00297313","2007/12","Nedaňové příjmy",62161020
"00297437","2007/12","Daňové příjmy",254882350
"00297437","2007/12","Kapitálové příjmy",23093550
"00297437","2007/12","Nedaňové příjmy",42943970
"00297488","2007/12","Daňové příjmy",901652500
"00297488","2007/12","Kapitálové příjmy",7513070
"00297488","2007/12","Nedaňové příjmy",42225050
