"ico","year","lt_tangible_assets_CZK"
"00235440","2009/12",5678050250
"00236021","2009/12",2311224150
"00236195","2009/12",2085087310
"00236977","2009/12",1434985410
"00237051","2009/12",1851182890
"00237108","2009/12",1287632920
"00238295","2009/12",4644528770
"00238309","2009/12",906766460
"00239402","2009/12",1104061370
"00239500","2009/12",1707385350
"00239640","2009/12",1817708320
"00240079","2009/12",2072569060
"00240702","2009/12",2246087760
"00241121","2009/12",602354000
"00242098","2009/12",1145742520
"00243132","2009/12",4441779160
"00243272","2009/12",988158620
"00244309","2009/12",1804811430
"00244732","2009/12",10122940860
"00245551","2009/12",508782020
"00245585","2009/12",1186619760
"00245836","2009/12",2372815520
"00245941","2009/12",814183290
"00246476","2009/12",830496220
"00246875","2009/12",2910473070
"00247618","2009/12",2167971570
"00248266","2009/12",980313850
"00248789","2009/12",803792550
"00248801","2009/12",2266137660
"00249831","2009/12",863646790
"00249998","2009/12",4856835950
"00250627","2009/12",2163624450
"00250805","2009/12",1288901530
"00250996","2009/12",726946420
"00251810","2009/12",3211169530
"00251984","2009/12",910737960
"00252921","2009/12",850660990
"00253014","2009/12",4156208100
"00253316","2009/12",2527801320
"00253383","2009/12",838962670
"00253901","2009/12",874928970
"00253979","2009/12",3556156130
"00254061","2009/12",1949835760
"00254657","2009/12",10015522930
"00254843","2009/12",1919496150
"00255513","2009/12",1133664140
"00255661","2009/12",3571180550
"00256129","2009/12",1839947020
"00256455","2009/12",528142550
"00256986","2009/12",611755110
"00257125","2009/12",1054520090
"00257265","2009/12",544235530
"00257966","2009/12",418061590
"00258199","2009/12",495271020
"00259047","2009/12",2225050600
"00259438","2009/12",332811750
"00259586","2009/12",2407796490
"00260177","2009/12",1324565400
"00260231","2009/12",2624702090
"00260428","2009/12",3178729540
"00260771","2009/12",1202940930
"00261238","2009/12",3437063790
"00261602","2009/12",1157150550
"00261718","2009/12",1239524130
"00261891","2009/12",4036548400
"00261912","2009/12",2002622550
"00262340","2009/12",4762700100
"00262587","2009/12",536368220
"00262633","2009/12",676300600
"00262781","2009/12",620040730
"00262978","2009/12",12143394300
"00263958","2009/12",2858419780
"00263991","2009/12",925709550
"00264334","2009/12",892678600
"00265209","2009/12",1541886930
"00265365","2009/12",1050792600
"00265781","2009/12",1499527700
"00266027","2009/12",2075826680
"00266094","2009/12",7668715200
"00266230","2009/12",987795530
"00266621","2009/12",3408603480
"00267449","2009/12",2209867270
"00267538","2009/12",762209960
"00268321","2009/12",688183650
"00268810","2009/12",9188540360
"00269247","2009/12",1561623580
"00270059","2009/12",1174286600
"00270211","2009/12",2529601380
"00271560","2009/12",734655100
"00271632","2009/12",2415704480
"00271888","2009/12",688693870
"00272523","2009/12",660809780
"00272728","2009/12",1863725280
"00272868","2009/12",1751692670
"00272876","2009/12",739559390
"00273571","2009/12",540924790
"00274046","2009/12",10182187190
"00274101","2009/12",743694440
"00274879","2009/12",728859120
"00274968","2009/12",837349950
"00275336","2009/12",1861091620
"00275808","2009/12",572157490
"00276111","2009/12",610584190
"00276227","2009/12",1063501450
"00276944","2009/12",1968500110
"00277037","2009/12",1289604020
"00277177","2009/12",1521296550
"00277444","2009/12",1631208290
"00277819","2009/12",2656940590
"00278360","2009/12",3049195080
"00278475","2009/12",2051649990
"00278653","2009/12",1435451750
"00279072","2009/12",815052340
"00279102","2009/12",1223975600
"00279676","2009/12",1000593810
"00279773","2009/12",1606658050
"00279846","2009/12",836372130
"00279943","2009/12",2027062320
"00279978","2009/12",1381274310
"00281859","2009/12",895519560
"00281964","2009/12",770008790
"00282481","2009/12",474269820
"00282651","2009/12",828449160
"00282707","2009/12",725408900
"00282979","2009/12",365054660
"00283061","2009/12",2283082010
"00283193","2009/12",466898890
"00283347","2009/12",874768450
"00283509","2009/12",647617330
"00283924","2009/12",8749502680
"00284165","2009/12",643356010
"00284301","2009/12",1468329540
"00284611","2009/12",675353240
"00284653","2009/12",155363310
"00284891","2009/12",2532487610
"00285030","2009/12",1443019630
"00285455","2009/12",1068637140
"00286010","2009/12",5117475350
"00286745","2009/12",752871530
"00287113","2009/12",798166050
"00287172","2009/12",1102397100
"00287351","2009/12",2308320800
"00288365","2009/12",417269260
"00288659","2009/12",4351989420
"00289931","2009/12",736874840
"00289965","2009/12",351415800
"00290629","2009/12",3374245530
"00291463","2009/12",2241688970
"00291471","2009/12",3315124160
"00291676","2009/12",445679990
"00292311","2009/12",712792670
"00292427","2009/12",1538462660
"00293199","2009/12",192068060
"00293881","2009/12",3076198780
"00294136","2009/12",1486667250
"00294900","2009/12",886310280
"00295671","2009/12",1321469240
"00295841","2009/12",2477156770
"00295892","2009/12",1464996310
"00296139","2009/12",2355911950
"00296317","2009/12",1195698930
"00296643","2009/12",3301663070
"00296651","2009/12",806055380
"00296759","2009/12",528781700
"00297313","2009/12",2803454230
"00297437","2009/12",1097636220
"00297488","2009/12",4751993240
"00297534","2009/12",4673435210
"00297569","2009/12",2143767510
"00297577","2009/12",1770415390
"00297755","2009/12",686297420
"00297852","2009/12",1391135220
"00298077","2009/12",1868799310
"00298212","2009/12",1990479210
"00298221","2009/12",690671230
"00299138","2009/12",1314945930
"00299308","2009/12",13053043430
"00299529","2009/12",1259105070
"00299634","2009/12",1548660720
"00300063","2009/12",658785140
