"year","municipality_id","municipality_name","winner_vote_percentage","party_id","party_name","party_name_short","is_overall_winner","is_winner_in_coalition","winner_vote_percentage_adj","coalition_vote_percentage","coalition_vote_percentage_adj","is_coalition_won"
2006,5103,"Jablonec nad Nisou",45.04,53,"Občanská demokratická strana","ODS",1,1,52.5922466137319,58.51,68.3208780943484,1
2006,5104,"Jilemnice",39.77,53,"Občanská demokratická strana","ODS",1,1,48.9597439369691,56.12,69.0877754524191,1
2006,5105,"Liberec",40.44,53,"Občanská demokratická strana","ODS",1,1,47.2816555594528,56.36,65.8950075996726,1
2006,5106,"Nový Bor",43.42,53,"Občanská demokratická strana","ODS",1,1,51.4820962769742,54.88,65.0699549442732,1
2006,5107,"Semily",36.23,53,"Občanská demokratická strana","ODS",1,1,44.7063178677196,50.47,62.2778874629813,1
2006,5108,"Tanvald",37.03,53,"Občanská demokratická strana","ODS",1,1,46.2932866608326,48.76,60.9576197024628,1
2006,5109,"Turnov",43.98,53,"Občanská demokratická strana","ODS",1,1,51.7533537302895,58.74,69.1221463873853,1
2006,5110,"Železný Brod",45.41,53,"Občanská demokratická strana","ODS",1,1,54.6384309950668,58.36,70.2201901094934,1
2006,5201,"Broumov",33.83,7,"Česká strana sociálně demokratická","ČSSD",0,0,43.1340048450848,44.6,56.8659951549152,1
2006,5202,"Dobruška",33.34,7,"Česká strana sociálně demokratická","ČSSD",0,0,41.55552785741,46.89,58.44447214259,1
2006,5203,"Dvůr Králové nad Labem",41.49,53,"Občanská demokratická strana","ODS",1,1,49.9578567128236,52.84,63.6243226971704,1
2006,5204,"Hořice",38.51,53,"Občanská demokratická strana","ODS",1,1,47.5080187515421,51.52,63.5578583765112,1
2006,5205,"Hradec Králové",41.58,53,"Občanská demokratická strana","ODS",1,1,49.7606510292006,53.92,64.5284825275251,1
2006,5206,"Jaroměř",35.51,53,"Občanská demokratická strana","ODS",1,1,44.6442041740005,47.48,59.6932361076188,1
2006,5207,"Jičín",38.91,53,"Občanská demokratická strana","ODS",1,1,47.5033573434257,50.23,61.3234037358076,1
2006,5208,"Kostelec nad Orlicí",39.48,53,"Občanská demokratická strana","ODS",1,1,48.0701327164252,52.57,64.0082795568002,1
2006,5209,"Náchod",39.36,53,"Občanská demokratická strana","ODS",1,1,46.5633502898379,55.21,65.3140896723057,1
2006,5210,"Nová Paka",40.17,53,"Občanská demokratická strana","ODS",1,1,47.5384615384615,53.62,63.4556213017752,1
2006,5211,"Nové Město nad Metují",40.01,53,"Občanská demokratická strana","ODS",1,1,47.8474049270509,55.97,66.9337479071992,1
2006,5212,"Nový Bydžov",34.86,7,"Česká strana sociálně demokratická","ČSSD",0,0,43.6513899323817,45,56.3486100676183,1
2006,5213,"Rychnov nad Kněžnou",34.18,53,"Občanská demokratická strana","ODS",1,1,42.6131405061713,48.37,60.3042014711383,1
2006,5214,"Trutnov",40.7,53,"Občanská demokratická strana","ODS",1,1,49.2080764115585,52.03,62.9065409261274,1
2006,5215,"Vrchlabí",43.92,53,"Občanská demokratická strana","ODS",1,1,52.466849838729,56.9,67.9727631107395,1
2006,5301,"Česká Třebová",39.96,7,"Česká strana sociálně demokratická","ČSSD",0,0,46.3949843260188,46.17,53.6050156739812,1
