,year,municipality_id,municipality_name,winner_vote_percentage,party_id,party_name,party_name_short,is_overall_winner,is_winner_in_coalition,winner_vote_percentage_adj,coalition_vote_percentage,coalition_vote_percentage_adj,is_coalition_won,is_election_year
79,2009,2120,Příbram,36.8,7,Česká strana sociálně demokratická,ČSSD,0,0,44.9987772071411,44.98,55.0012227928589,1,0
80,2006,2121,Rakovník,35.76,53,Občanská demokratická strana,ODS,1,1,44.5551956142537,45.0,56.0677797159233,1,1
81,2007,2121,Rakovník,35.76,53,Občanská demokratická strana,ODS,1,1,44.5551956142537,45.0,56.0677797159233,1,0
82,2008,2121,Rakovník,35.76,53,Občanská demokratická strana,ODS,1,1,44.5551956142537,45.0,56.0677797159233,1,0
83,2009,2121,Rakovník,35.76,53,Občanská demokratická strana,ODS,1,1,44.5551956142537,45.0,56.0677797159233,1,0
84,2006,2122,Říčany,52.08,53,Občanská demokratická strana,ODS,1,1,59.7042301960335,66.42,76.143528602545,1,1
85,2007,2122,Říčany,52.08,53,Občanská demokratická strana,ODS,1,1,59.7042301960335,66.42,76.143528602545,1,0
86,2008,2122,Říčany,52.08,53,Občanská demokratická strana,ODS,1,1,59.7042301960335,66.42,76.143528602545,1,0
87,2009,2122,Říčany,52.08,53,Občanská demokratická strana,ODS,1,1,59.7042301960335,66.42,76.143528602545,1,0
88,2006,2123,Sedlčany,37.37,53,Občanská demokratická strana,ODS,1,1,46.313049944231,50.5,62.5852026273392,1,1
89,2007,2123,Sedlčany,37.37,53,Občanská demokratická strana,ODS,1,1,46.313049944231,50.5,62.5852026273392,1,0
90,2008,2123,Sedlčany,37.37,53,Občanská demokratická strana,ODS,1,1,46.313049944231,50.5,62.5852026273392,1,0
91,2009,2123,Sedlčany,37.37,53,Občanská demokratická strana,ODS,1,1,46.313049944231,50.5,62.5852026273392,1,0
92,2006,2124,Slaný,38.37,53,Občanská demokratická strana,ODS,1,1,47.9145854145854,46.95,58.6288711288711,1,1
93,2007,2124,Slaný,38.37,53,Občanská demokratická strana,ODS,1,1,47.9145854145854,46.95,58.6288711288711,1,0
94,2008,2124,Slaný,38.37,53,Občanská demokratická strana,ODS,1,1,47.9145854145854,46.95,58.6288711288711,1,0
95,2009,2124,Slaný,38.37,53,Občanská demokratická strana,ODS,1,1,47.9145854145854,46.95,58.6288711288711,1,0
96,2006,2125,Vlašim,39.3,7,Česká strana sociálně demokratická,ČSSD,0,0,47.9502196193265,42.66,52.0497803806735,1,1
97,2007,2125,Vlašim,39.3,7,Česká strana sociálně demokratická,ČSSD,0,0,47.9502196193265,42.66,52.0497803806735,1,0
98,2008,2125,Vlašim,39.3,7,Česká strana sociálně demokratická,ČSSD,0,0,47.9502196193265,42.66,52.0497803806735,1,0
99,2009,2125,Vlašim,39.3,7,Česká strana sociálně demokratická,ČSSD,0,0,47.9502196193265,42.66,52.0497803806735,1,0
100,2006,2126,Votice,36.63,7,Česká strana sociálně demokratická,ČSSD,0,0,44.659839063643,45.39,55.340160936357,1,1
101,2007,2126,Votice,36.63,7,Česká strana sociálně demokratická,ČSSD,0,0,44.659839063643,45.39,55.340160936357,1,0
102,2008,2126,Votice,36.63,7,Česká strana sociálně demokratická,ČSSD,0,0,44.659839063643,45.39,55.340160936357,1,0
103,2009,2126,Votice,36.63,7,Česká strana sociálně demokratická,ČSSD,0,0,44.659839063643,45.39,55.340160936357,1,0
104,2006,3101,Blatná,35.53,7,Česká strana sociálně demokratická,ČSSD,0,0,43.8967136150235,45.41,56.1032863849765,1,1
105,2007,3101,Blatná,35.53,7,Česká strana sociálně demokratická,ČSSD,0,0,43.8967136150235,45.41,56.1032863849765,1,0
106,2008,3101,Blatná,35.53,7,Česká strana sociálně demokratická,ČSSD,0,0,43.8967136150235,45.41,56.1032863849765,1,0
107,2009,3101,Blatná,35.53,7,Česká strana sociálně demokratická,ČSSD,0,0,43.8967136150235,45.41,56.1032863849765,1,0
108,2006,3102,České Budějovice,42.77,53,Občanská demokratická strana,ODS,1,1,51.1909036505087,55.82,66.8102932375823,1,1
109,2007,3102,České Budějovice,42.77,53,Občanská demokratická strana,ODS,1,1,51.1909036505087,55.82,66.8102932375823,1,0
110,2008,3102,České Budějovice,42.77,53,Občanská demokratická strana,ODS,1,1,51.1909036505087,55.82,66.8102932375823,1,0
111,2009,3102,České Budějovice,42.77,53,Občanská demokratická strana,ODS,1,1,51.1909036505087,55.82,66.8102932375823,1,0
112,2006,3103,Český Krumlov,38.64,53,Občanská demokratická strana,ODS,1,1,46.6666666666667,52.58,63.5024154589372,1,1
113,2007,3103,Český Krumlov,38.64,53,Občanská demokratická strana,ODS,1,1,46.6666666666667,52.58,63.5024154589372,1,0
114,2008,3103,Český Krumlov,38.64,53,Občanská demokratická strana,ODS,1,1,46.6666666666667,52.58,63.5024154589372,1,0
115,2009,3103,Český Krumlov,38.64,53,Občanská demokratická strana,ODS,1,1,46.6666666666667,52.58,63.5024154589372,1,0
116,2006,3104,Dačice,30.72,53,Občanská demokratická strana,ODS,1,1,40.5544554455446,47.29,62.4290429042904,1,1
117,2007,3104,Dačice,30.72,53,Občanská demokratická strana,ODS,1,1,40.5544554455446,47.29,62.4290429042904,1,0
118,2008,3104,Dačice,30.72,53,Občanská demokratická strana,ODS,1,1,40.5544554455446,47.29,62.4290429042904,1,0
119,2009,3104,Dačice,30.72,53,Občanská demokratická strana,ODS,1,1,40.5544554455446,47.29,62.4290429042904,1,0
120,2006,3105,Jindřichův Hradec,35.87,53,Občanská demokratická strana,ODS,1,1,44.8823823823824,47.58,59.5345345345345,1,1
121,2007,3105,Jindřichův Hradec,35.87,53,Občanská demokratická strana,ODS,1,1,44.8823823823824,47.58,59.5345345345345,1,0
122,2008,3105,Jindřichův Hradec,35.87,53,Občanská demokratická strana,ODS,1,1,44.8823823823824,47.58,59.5345345345345,1,0
123,2009,3105,Jindřichův Hradec,35.87,53,Občanská demokratická strana,ODS,1,1,44.8823823823824,47.58,59.5345345345345,1,0
124,2006,3106,Kaplice,34.72,53,Občanská demokratická strana,ODS,1,1,44.2970145445267,46.65,59.5177341158459,1,1
125,2007,3106,Kaplice,34.72,53,Občanská demokratická strana,ODS,1,1,44.2970145445267,46.65,59.5177341158459,1,0
